opponent,OppoConference,season
Air Force,Atlantic Hockey,2006-24
Air Force,CHA,1999-06
Air Force,Independent,1968-99
Alaska Anchorage,Great West,1985-88
Alaska Anchorage,Independent,1979-85
Alaska Anchorage,Independent,1988-93
Alaska Anchorage,Independent,2022-24
Alaska Anchorage,WCHA,1993-21
American International,Atlantic Hockey,2003-24
American International,ECAC East (DIII),1984-98
American International,ECAC,1961-64
American International,ECAC 2,1964-84
American International,Independent,1948-49
American International,Independent,1955-61
American International,MAAC,1998-03
American International,NEIHL,1949-54
Arizona State,Independent,2015-24
Army,Atlantic Hockey,2003-24
Army,CHA,1999-00
Army,ECAC 2,1973-80
Army,ECAC,1961-73
Army,ECAC,1980-91
Army,Independent,1901-46
Army,Independent,1948-61
Army,Independent,1991-99
Army,MAAC,2000-03
Army,Pentagonal League,1946-48
Bates,Independent,1920-33
Bentley,Atlantic Hockey,2003-24
Bentley,MAAC,1999-03
Boston Athletic Assoc.,Non-Collegiate,1920-88
Boston College,ECAC,1961-84
Boston College,Hockey East,1984-24
Boston College,Independent,1917-36
Boston College,Independent,1955-61
Boston College,NEIHL,1936-55
Boston Hockey Club,Non-Collegiate,1920-88
Bowdoin,ECAC 2,1964-85
Bowdoin,ECAC East (DIII),1985-99
Bowdoin,ECAC,1961-64
Bowdoin,Independent,1924-36
Bowdoin,Independent,1955-61
Bowdoin,NEIHL,1936-54
Bowdoin,NESCAC,1999-24
Bowling Green,CCHA,1971-13
Bowling Green,CCHA,2022-24
Bowling Green,MCHA,1969-71
Bowling Green,WCHA,2013-21
Brae Burn,Non-Collegiate,1920-88
Briarcliff Lodge,Non-Collegiate,1920-88
Brown,ECAC,1961-24
Brown,IHA,1897-06
Brown,Independent,1926-48
Brown,Ivy League,1955-61
Brown,Pentagonal League,1948-55
Clarkson,ECAC,1961-24
Clarkson,Independent,1920-50
Clarkson,Tri-State League,1950-61
Colby,ECAC,1961-64
Colby,ECAC 2,1964-84
Colby,Independent,1955-61
Colby,NEIHL,1936-55
Colgate,ECAC,1961-24
Colgate,Independent,1915-50
Colgate,Independent,1957-61
Colgate,Tri-State League,1950-51
Colorado College,Independent,1937-51
Colorado College,Independent,1958-59
Colorado College,MCHA,1951-53
Colorado College,NCHC,2013-24
Colorado College,WCHA,1959-13
Colorado College,WIHL,1953-58
Connecticut,Atlantic Hockey,2003-14
Connecticut,ECAC 2,1964-84
Connecticut,ECAC East (DIII),1984-98
Connecticut,ECAC,1961-64
Connecticut,Hockey East,2014-24
Connecticut,Independent,1960-61
Connecticut,MAAC,1998-03
Cornell,ECAC,1962-24
Cornell,IHA,1909-13
Cornell,Independent,1899-09
Cornell,Independent,1913-61
Dalhousie,Independent,1920-88
Dartmouth,ECAC,1961-24
Dartmouth,IHA,1906-13
Dartmouth,Independent,1905-06
Dartmouth,Independent,1913-33
Dartmouth,Independent,1943-46
Dartmouth,Independent,1955-61
Dartmouth,Pentagonal League,1946-55
Dartmouth,Quadrangular League,1933-43
Denver,Independent,1949-50
Denver,Independent,1958-59
Denver,MCHA,1951-53
Denver,NCHC,2013-24
Denver,WCHA,1959-13
Denver,WIHL,1953-58
Eastern Nationals,Non-Collegiate,1920-88
Ferris State,CCHA,1978-13
Ferris State,CCHA,2021-24
Ferris State,Independent,1975-78
Ferris State,WCHA,2013-21
Hamilton College,Independent,1920-88
Harvard,ECAC,1961-24
Harvard,IHA,1901-11
Harvard,IHL,1912-18
Harvard,Independent,1897-01
Harvard,Independent,1911-12
Harvard,Independent,1918-19
Harvard,Independent,1926-32
Harvard,Independent,1945-46
Harvard,Independent,1955-61
Harvard,Pentagonal League,1946-55
Harvard,Quadrangular League,1932-43
Harvard,Triangular League,1919-26
Holy Cross,Atlantic Hockey,2003-24
Holy Cross,ECAC 2,1967-84
Holy Cross,ECAC East (DIII),1984-98
Holy Cross,Independent,1928-66
Holy Cross,MAAC,1998-03
Jr. Olympics,Non-Collegiate,1920-88
L'Assoc. St. Dominique,Non-Collegiate,1920-88
Lake Superior State,CCHA,1972-13
Lake Superior State,CCHA,2021-24
Lake Superior State,ICHA,1967-72
Lake Superior State,Independent,1966-67
Lake Superior State,WCHA,2013-21
Loyola of Montreal,Independent,1920-88
MIT,Independent,1922-36
MIT,NEIHL,1936-55
Maine,ECAC 2,1977-79
Maine,ECAC,1979-84
Maine,Hockey East,1984-24
Maine,Independent,1922-24
Maple AA,Non-Collegiate,1920-88
Mass. Devens,NEIHL,1946-49
Massachusetts,ECAC 2,1964-79
Massachusetts,ECAC,1961-64
Massachusetts,Hockey East,1994-24
Massachusetts,Independent,1908-61
Massachusetts,Independent,1993-94
Memorial Univ.,Independent,1920-88
Merrimack,ECAC 2,1964-84
Merrimack,ECAC East (DIII),1984-89
Merrimack,ECAC,1961-64
Merrimack,Hockey East,1989-24
Merrimack,Independent,1956-61
Miami,CCHA,1981-13
Miami,Independent,1978-81
Miami,NCHC,2013-24
Michigan State,Big Ten,1958-59
Michigan State,Big Ten,2013-24
Michigan State,CCHA,1981-13
Michigan State,Independent,1922-51
Michigan State,MCHL,1951-53
Michigan State,WCHA,1959-81
Michigan State,WIHL,1953-58
Michigan Tech,CCHA,1981-84
Michigan Tech,CCHA,2021-24
Michigan Tech,Independent,1922-51
Michigan Tech,Independent,1958-59
Michigan Tech,MCHL,1951-53
Michigan Tech,WCHA,1959-81
Michigan Tech,WCHA,1984-21
Michigan Tech,WIHL,1953-58
Michigan,Big Ten,1958-59
Michigan,Big Ten,2013-24
