opponent,OppoConference,season
Boston College,Hockey East,2002-27
Brown,ECAC,1993-27
Colgate,ECAC,2004-27
Clarkson,ECAC,2004-27
Connecticut,Hockey East,2002-27
Cornell,ECAC,1993-27
Dartmouth,ECAC,1993-27
Harvard,ECAC,1993-27
Holy Cross,NEHC,2015-17
Holy Cross,NEWHA,2017-18
Holy Cross,Hockey East,2018-27
Long Island University,NEWHA,2019-27
Maine,Hockey East,2002-27
Mercyhurst,CHA,2002-24
Mercyhurst,AHA,2024-27
Merrimack,Hockey East,2015-27
Minnesota,WCHA,1999-27
Minnesota Duluth,WCHA,1999-27
Minnesota State,WCHA,1999-27
New Hampshire,Hockey East,2002-27
Niagara,CHA,2002-12
North Dakota,WCHA,2004-17
Northeastern,Hockey East,2002-27
Ohio State,WCHA,1999-27
Penn State,CHA,2012-24
Penn State,AHA,2024-27
Princeton,ECAC,1993-27
Providence,Hockey East,2002-27
Quinnipiac,ECAC,2005-27
Rensselaer,ECAC,2005-27
RIT,CHA,2012-24
RIT,AHA,2024-27
Robert Morris,CHA,2005-24
Robert Morris,AHA,2024-27
Sacred Heart,Independent,2003-19
Sacred Heart,NEWHA,2019-27
St. Cloud State,WCHA,1999-27
St. Lawrence,ECAC,1993-27
Syracuse,CHA,2008-24
Syracuse,AHA,2024-27
Union,ECAC,2003-27
Vermont,ECAC,2001-05
Vermont,Hockey East,2005-27
Wayne State,CHA,2002-11
Wisconsin,WCHA,1999-27
Yale,ECAC,1993-27
