No.,date,opponent,name,goalscorer
1,2007-02-24,Northeastern,Erin Seman,Walter Brown Arena
2,2008-02-23,Boston College,Melissa Anderson,Conte Forum
3,2008-10-25,Maine,Lauren Cherewyk,Agganis Arena
4,2009-10-17,Wayne State,Jenelle Kohanchuk (4),City Sports Arena
5,2010-10-15,Wayne State,Marie-Philip Poulin (4),Walter Brown Arena
6,2011-01-22,Vermont,Marie-Philip Poulin,Gutterson Fieldhouse
7,2011-10-15,Union,Kayla Tutino,Walter Brown Arena
8,2012-01-21,Vermont,Jenn Wakefield,Walter Brown Arena
9,2012-02-26,New Hampshire,Jenn Wakefield,Walter Brown Arena
10,2012-11-03,Boston College,Louise Warren,Conte Forum
11,2012-12-01,Providence,Marie-Philip Poulin,Walter Brown Arena
12,2013-01-16,Northeastern,Sarah Lefort,Walter Brown Arena
13,2013-12-03,Northeastern,Sarah Lefort,Matthews Arena
14,2014-02-01,Connecticut,Louise Warren,Walter Brown Arena
15,2014-02-08,New Hampshire,Sarah Lefort (4),Walter Brown Arena
16,2014-11-23,New Hampshire,Sarah Lefort,Walter Brown Arena
17,2015-02-14,Providence,Sarah Lefort,Schneider Arena
18,2015-02-16,Providence,Sarah Lefort,Walter Brown Arena
19,2015-02-27,Vermont,Kayla Tutino (4),Walter Brown Arena
20,2015-03-07,Northeastern,Marie-Philip Poulin,Hyannis Center
21,2015-11-03,Yale,Maddie Elia,Walter Brown Arena
22,2015-11-20,Merrimack,Victoria Bach,Lawler Rink
23,2016-01-17,Vermont,Sammy Davis,Gutterson Fieldhouse
24,2016-09-25,Providence,Samantha Sutherland,Walter Brown Arena
25,2016-10-15,Penn State,Mary Parker,Pegula Ice Arena
26,2016-11-11,Maine,Victoria Bach,Alfond Arena
27,2016-11-18,Merrimack,Rebecca Leslie,Lawler Rink
28,2017-01-21,Providence,Victoria Bach,Schneider Arena
29,2017-10-22,Connecticut,Rebecca Leslie,Walter Brown Arena
30,2017-11-17,Vermont,Victoria Bach (4),Gutterson Fieldhouse
31,2017-11-24,Minnesota State,Victoria Bach,Kettler Iceplex
32,2017-12-07,Yale,Victoria Bach (4),Ingalls Rink
33,2018-01-16,Northeastern,Victoria Bach,Matthews Arena
34,2023-01-27,Merrimack,Madison Cardaci,Walter Brown Arena
35,2023-11-04,Merrimack,Lacey Martin,Walter Brown Arena
