No.,date,opponent,arena,scoreline,goalie,saves
1,2006-01-15,Connecticut,Walter Brown Arena,3-0,Allyse Wilcox,23
2,2006-10-21,Vermont,Walter Brown Arena,3-0,Allyse Wilcox,13
3,2006-10-22,Vermont,Walter Brown Arena,4-0,Melissa Haber,26
4,2006-11-12,Vermont,Gutterson Fieldhouse,3-0,Melissa Haber,17
5,2006-12-09,Sacred Heart,Walter Brown Arena,8-0,Melissa Haber,4
6,2007-01-27,Maine,Walter Brown Arena,3-0,Melissa Haber,14
7,2007-11-03,Union,Walter Brown Arena,6-0,Allyse Wilcox (6)/Ashley Leichliter (0),
8,2007-12-02,Vermont,Walter Brown Arena,3-0,Allyse Wilcox,21
9,2008-02-09,Vermont,Gutterson Fieldhouse,2-0,Allyse Wilcox,22
10,2008-03-01,Northeastern,Walter Brown Arena,2-0,Allyse Wilcox,17
11,2008-11-14,Princeton,Hobey Baker Rink,2-0,Allyse Wilcox,30
12,2009-01-31,Vermont,Walter Brown Arena,4-0,Melissa Haber,23
13,2009-02-21,Northeastern,Matthews Arena,3-0,Allyse Wilcox,20
14,2009-11-11,Vermont,Walter Brown Arena,4-0,Melissa Haber,16
15,2010-02-21,Maine,Walter Brown Arena,2-0,Melissa Haber,24
16,2010-03-06,New Hampshire,Schneider Arena,4-0,Melissa Haber,17
17,2010-11-21,Boston College,Conte Forum,1-0,Kerrin Sperry,22
18,2010-12-04,Connecticut,Freitas Ice Forum,4-0,Kerrin Sperry,12
19,2010-12-07,Northeastern,Walter Brown Arena,3-0,Kerrin Sperry,23
20,2011-01-02,Brown,Meehan Aud.,4-0,Alissa Fromkin,14
21,2011-01-15,Boston College,Conte Forum,4-0,Kerrin Sperry,22
22,2011-01-22,Vermont,Gutterson Fieldhouse,4-0,Kerrin Sperry,9
23,2011-02-18,Maine,Alfond Arena,2-0,Kerrin Sperry,21
24,2012-01-25,Boston College,Walter Brown Arena,6-0,Kerrin Sperry,30
25,2012-10-27,Robert Morris,Walter Brown Arena,3-0,Kerrin Sperry,24
26,2012-12-09,Minnesota Duluth,AMSOIL Arena,0-0,Kerrin Sperry,38
27,2013-02-20,New Hampshire,Walter Brown Arena,6-0,Kerrin Sperry,22
28,2013-03-09,Providence,Hyannis Center,4-0,Kerrin Sperry,42
29,2013-11-02,Vermont,Walter Brown Arena,6-0,Kerrin Sperry,28
30,2013-11-15,St. Cloud State,Dobson Arena,2-0,Kerrin Sperry,28
31,2014-10-24,Maine,Alfond Arena,3-0,Erin O'Neil (4)/Victoria Hanson (20),
32,2015-12-09,Providence,Schneider Arena,6-0,Erin O'Neil,27
33,2016-02-26,Vermont,Walter Brown Arena,3-0,Erin O'Neil,25
34,2016-11-19,Merrimack,Agganis Arena,2-0,Victoria Hanson,29
35,2017-02-19,Maine,Walter Brown Arena,5-0,Victoria Hanson,35
36,2018-02-18,New Hampshire,Walter Brown Arena,2-0,Erin O'Neil,32
37,2018-11-16,Vermont,Walter Brown Arena,3-0,Corinne Schroeder,26
38,2018-12-08,RIT,Polisseni Center,8-0,Corinne Schroeder (22)/Nicole McGuigan (0),
39,2019-01-06,Maine,Alfond Arena,3-0,Corinne Schroeder,20
40,2019-10-18,UConn,Freitas Ice Forum,1-0,Corinne Schroeder,38
41,2019-12-06,Boston College,Walter Brown Arena,6-0,Corinne Schroeder,21
42,2020-02-04,Boston College,Walter Brown Arena,4-0,Corinne Schroeder,33
43,2020-02-15,New Hampshire,Whittemore Center Arena,1-0,Corinne Schroeder,33
44,2020-02-16,New Hampshire,Walter Brown Arena,2-0,Kate Stuart,17
45,2021-01-23,Maine,Walter Brown Arena,1-0,Corinne Schroeder,20
46,2021-02-05,Merrimack,Walter Brown Arena,6-0,Kate Stuart,24
47,2021-02-07,Merrimack,Lawler Rink,2-0,Corinne Schroeder,18
48,2021-10-02,New Hampshire,Walter Brown Arena,5-0,Callie Shanahan,16
49,2022-10-07,Rensselaer,Walter Brown Arena,4-0,Andrea Brändli,19
50,2022-10-14,New Hampshire,Whittemore Center Arena,2-0,Andrea Brändli,26
51,2024-02-03,Boston College,Conte Forum,3-0,Callie Shanahan,19
52,2024-02-17,Merrimack,Lawler Rink,4-0,Callie Shanahan,19
53,2024-10-12,Northeastern,Agganis Arena,4-0,Callie Shanahan,25
54,2024-10-19,Maine,Agganis Arena,2-0,Callie Shanahan,23
55,2025-01-03,Holy Cross,Hart Center,3-0,Callie Shanahan,15
56,2025-01-24,Holy Cross,Hart Center,2-0,Mari Pietersen,25
57,2025-01-25,Holy Cross,Walter Brown Arena,3-0,Mari Pietersen,15
58,2025-12-02,Holy Cross,Hart Center,3-0,Mari Pietersen,19
59,2026-01-30,Merrimack,Lawler Rink,3-0,Michelle Pasiechnyk,23
60,2026-02-25,Providence,Walter Brown Arena,3-0,Mari Pietersen,20
