last,first,name,Birthday,Year,Month,Day
Elliott,Robert,Robert Elliott,1907-10-11,1907,10,11
Bender,Walter,Walter Bender,1910-11-01,1910,11,1
Lax,John,John Lax,1911-07-23,1911,7,23
Rowe,Paul,Paul Rowe,1914-05-05,1914,5,5
Chambers,John,John Chambers,1917-07-09,1917,7,9
MacArthur,Burt,Burt MacArthur,1920-08-14,1920,8,14
Crowley,Dan,Dan Crowley,1920-12-10,1920,12,10
Bevins,Ralph,Ralph Bevins,1924-10-07,1924,10,7
Cahoon,Ed,Ed Cahoon,1924-07-02,1924,7,2
Czarnota,Joe,Joe Czarnota,1925-03-25,1925,3,25
Barrett,Bob,Bob Barrett,1927-08-18,1927,8,18
Folino,Joe,Joe Folino,1927-01-03,1927,1,3
Garrity,John,John Garrity,1926-04-01,1926,4,1
Kelley,Jack,Jack Kelley,1927-07-10,1927,7,10
Rodenhiser,Dick,Dick Rodenhiser,1932-10-17,1932,10,17
Crocker,Bob,Bob Crocker,1928-08-03,1928,8,3
Aiken,Don,Don Aiken,1932-01-01,1932,1,1
Buell,Bob,Bob Buell,1931-04-23,1931,4,23
Keith,Forbes,Forbes Keith,1936-05-17,1936,5,17
MacLeod,Russ,Russ MacLeod,1935-05-28,1935,5,28
McCurdy,Russ,Russ McCurdy,1939-08-18,1939,8,18
Ferreira,Jack,Jack Ferreira,1944-06-09,1944,6,9
Quinn,Jim,Jim Quinn,1944-02-26,1944,2,26
Sobeski,Mike,Mike Sobeski,1945-03-24,1945,3,24
Parker,Jack,Jack Parker,1945-03-11,1945,3,11
Wakabayashi,Herb,Herb Wakabayashi,1944-12-23,1944,12,23
Hinch,Bill,Bill Hinch,1945-06-07,1945,6,7
Hyndman,Mike,Mike Hyndman,1945-12-08,1945,12,8
Gryp,Bob,Bob Gryp,1950-05-06,1950,5,6
Stirling,Steve,Steve Stirling,1949-11-19,1949,11,19
Regan,Tim,Tim Regan,1949-12-28,1949,12,28
Brown,Robert,Robert Brown,1950-12-18,1950,12,18
Murray,Bob,Bob Murray,1950-07-11,1950,7,11
Richard Jordan,John,John Richard Jordan,1950-03-31,1950,3,31
Anderson,Ron,Ron Anderson,1950-01-21,1950,1,21
Burrowes,Guy,Guy Burrowes,1948-03-04,1948,3,4
Cahoon,Don,Don Cahoon,1949-04-13,1949,4,13
Danby,John,John Danby,1948-07-20,1948,7,20
Giandomenico,Paul,Paul Giandomenico,1949-10-30,1949,10,30
Brady,Dan,Dan Brady,1950-08-25,1950,8,25
