date,aTeam,hTeam,per,time,arena,goalscorer,primary,secondary
1982-04-08,PHI,NYR,2,18:50,Madison Square Garden,Dave Silk,,
1982-04-21,NYR,NYI,2,03:24,Nassau Veterans Memorial Coliseum,Dave Silk,Unassisted,None
1985-04-10,DET,CHI,2,00:17,Chicago Stadium,Jack O'Callahan,,
1985-04-18,MNS,CHI,3,04:11,Chicago Stadium,Jack O'Callahan,,None
1985-05-09,EDM,CHI,1,05:01,Chicago Stadium,Jack O'Callahan,,
1986-04-24,STL,TOR,3,04:28,Maple Leaf Gardens,Rick Meagher,,
1986-04-24,STL,TOR,3,19:36,Maple Leaf Gardens,Rick Meagher,,None
1986-05-08,CGY,STL,1,11:37,St. Louis Arena,Rick Meagher,,
1986-05-08,CGY,STL,3,00:24,St. Louis Arena,Rick Meagher,,None
1988-04-07,LAK,CGY,3,16:47,Olympic Saddledome,Paul Fenton,,
1988-04-10,MTL,HFD,3,17:54,Hartford Civic Center,Scott Young,,
1988-04-12,LAK,CGY,3,16:10,Olympic Saddledome,Paul Fenton,,
1988-05-02,NJD,BOS,2,13:45,Boston Garden,Jack O'Callahan,,
1989-04-05,HFD,MTL,2,16:55,Montreal Forum,Scott Young,,
1989-04-06,HFD,MTL,3,07:03,Montreal Forum,Scott Young,,
1989-04-06,MNS,STL,2,13:17,St. Louis Arena,Rick Meagher,Unassisted,None
1989-04-06,MNS,STL,4,05:30,St. Louis Arena,Rick Meagher,,
1989-04-08,PIT,NYR,1,15:25,Madison Square Garden,John Cullen,,
1989-04-11,MNS,STL,2,16:01,St. Louis Arena,Rick Meagher,,None
1989-04-17,PHI,PIT,2,08:17,Civic Arena,John Cullen,,
1989-04-23,PIT,PHI,1,03:22,Spectrum,John Cullen,,
1990-04-05,HFD,BOS,2,06:16,Boston Garden,Scott Young,,
1990-04-06,WIN,EDM,1,18:41,Northlands Coliseum,Paul Fenton,,
1990-04-08,EDM,WIN,2,09:35,Winnipeg Arena,Paul Fenton,,
1990-04-15,BOS,HFD,1,06:31,Hartford Civic Center,Scott Young,,
1990-04-18,STL,CHI,1,18:58,Chicago Stadium,Rick Meagher,,
1991-04-03,HFD,BOS,3,15:49,Boston Garden,John Cullen,,None
1991-04-09,BOS,HFD,1,02:40,Hartford Civic Center,John Cullen,,None
1991-05-15,MNS,PIT,2,07:43,Civic Arena,Scott Young,,
1992-04-20,WIN,VAN,2,01:39,Pacific Coliseum,Keith Tkachuk,,None
1992-04-21,HFD,MTL,1,07:16,Montreal Forum,John Cullen,,
1992-04-23,MTL,HFD,2,19:09,Hartford Civic Center,John Cullen,,None
1992-04-28,VAN,WIN,3,00:17,Winnipeg Arena,Keith Tkachuk,,
1992-04-28,VAN,WIN,1,05:03,Winnipeg Arena,Keith Tkachuk,,
1992-04-29,NYR,NJD,1,17:37,Brendan Byrne Arena,Tony Amonte,,
1992-05-03,PIT,NYR,2,10:24,Madison Square Garden,Tony Amonte,,
1992-05-09,NYR,PIT,1,13:04,Civic Arena,Tony Amonte,,None
1992-05-13,NYR,PIT,2,13:43,Civic Arena,Shawn McEachern,Unassisted,None
1992-05-17,BOS,PIT,3,12:27,Civic Arena,Shawn McEachern,,None
1993-04-18,MTL,QUE,4,16:49,Le Colisée,Scott Young,,
1993-04-19,TOR,DET,1,10:44,Joe Louis Arena,John Cullen,,
1993-04-20,MTL,QUE,1,11:41,Le Colisée,Scott Young,,None
1993-04-20,NJD,PIT,2,16:56,Civic Arena,Shawn McEachern,,
1993-04-20,MTL,QUE,1,13:56,Le Colisée,Scott Young,,
1993-04-20,NJD,PIT,1,15:09,Civic Arena,Shawn McEachern,,
1993-04-22,PIT,NJD,1,09:36,Brendan Byrne Arena,Shawn McEachern,,None
1993-04-23,VAN,WIN,1,03:52,Winnipeg Arena,Keith Tkachuk,,None
1993-04-24,QUE,MTL,1,09:25,Montreal Forum,Scott Young,,
1993-04-25,VAN,WIN,2,08:48,Winnipeg Arena,Keith Tkachuk,,
1993-04-27,WIN,VAN,2,11:46,Pacific Coliseum,Keith Tkachuk,,
1993-04-28,QUE,MTL,1,06:29,Montreal Forum,Ed Ronan,,
