Season,Team,Name
1975-76,Nova Scotia Voyageurs,Ed Walsh
1976-77,Nova Scotia Voyageurs,Ed Walsh
1987-88,Hershey Bears,Cleon Daskalakis
1996-97,Hershey Bears,Rich Brennan
1996-97,Hershey Bears,Doug Friedman
2001-02,Chicago Wolves,Joe DiPenta
2002-03,Houston Aeros,Dan Cavanaugh
2002-03,Houston Aeros,Chris Dyment
2004-05,Philadelphia Phantoms,Freddy Meyer
2005-06,Hershey Bears,Chris Bourque
2008-09,Hershey Bears,Chris Bourque
2009-10,Hershey Bears,Chris Bourque
2010-11,Binghamton Senators,Eric Gryba
2014-15,Manchester Monarchs,David Van der Gulik
2025-26,Toronto Marlies,Cade Webber
2025-26,Toronto Marlies,Sam Stevens
