Season,Name,Team
2008–09,Marie–Philip Poulin,Montreal Stars
2011–12,Catherine Ward,Montreal Stars
2012–13,Kasey Boucher,Boston Blades
2012–13,Holly Lorms,Boston Blades
2013–14,Jenelle Kohanchuk,Toronto Furies
2014–15,Kaleigh Fratkin,Boston Blades
2014–15,Tara Watchorn,Boston Blades
2015–16,Louise Warren,Calgary Inferno
2016–17,Marie–Philip Poulin,Les Canadiennes de Montreal
2016–17,Sarah Lefort,Les Canadiennes de Montreal
2017–18,Alexis Woloschuk,Markham Thunder
2018–19,Louise Warren,Calgary Inferno
2018–19,Rebecca Leslie,Calgary Inferno
2018–19,Dakota Woodworth,Calgary Inferno
