Year,Name,Award
2007-08,Outstanding Rookie,Marie-Philip Poulin (Montréal Stars)
2011-12,Top Defender,Catherine Ward (Montréal Stars)
2012-13,Top Defender,Catherine Ward (Montréal Stars)
2014-15,Defender of the Year,Tara Watchorn (Boston Blades)
2015-16,CWHL MVP,Marie-Philip Poulin (Canadiennes de Montréal)
2015-16,Top Forward,Marie-Philip Poulin (Canadiennes de Montréal)
2015-16,Angela James Bowl,Marie-Philip Poulin (Canadiennes de Montréal)
2015-16,Jayna Hefford Trophy,Marie-Philip Poulin (Canadiennes de Montréal)
2016-17,Angela James Bowl,Marie-Philip Poulin (Les Canadiennes de Montréal) *co-recipient
2016-17,Jayna Hefford Trophy,Marie-Philip Poulin (Les Canadiennes de Montréal)
2016-17,CWHL MVP,Marie-Philip Poulin (Les Canadiennes de Montréal)
2018-19,Rookie of the Year,Victoria Bach (Markham Thunder)
2018-19,Jayna Hefford Trophy,Marie-Philip Poulin (Les Canadiennes de Montréal)
2018-19,CWHL MVP,Marie-Philip Poulin (Les Canadiennes de Montréal)
2018-19,Angela James Bowl,Marie-Philip Poulin (Les Canadiennes de Montréal)
