Name,Draft,Round,Pick,Pick In Round,Team
Amanda Shaw,2010,4,18,3,Burlington Barracudas 
Catherine Ward,2011,2,7,1,Montreal Stars
Jillian Kirchner,2011,7,38,2,Boston Blades
Tara Watchorn,2012,2,11,1,Team Alberta
Jenn Wakefield,2012,2,12,2,Toronto Furies
Jill Cardella,2013,4,20,2,Boston Blades
Alissa Fromkin,2013,9,45,3,Boston Blades
Shannon Mahoney,2013,14,64,4,Boston Blades
Louise Warren,2014,3,13,1,Calgary Inferno 
Kaleigh Fratkin,2014,5,20,2,Boston Blades
Taylor Holza,2014,14,51,3,Boston Blades
Marie-Philip Poulin,2015,1,3,3,Montreal Stars
Kayla Tutino,2016,1,1,1,Boston Blades
Sarah Lefort,2016,1,4,4,Canadiennes de Montreal
Dakota Woodworth,2016,5,21,3,Boston Blades
Alexis Woloschuk,2016,7,31,3,Boston Blades
Victoria Bach,2018,1,3,3,Markham Thunder 
Rebecca Leslie,2018,2,10,4,Calgary Inferno 
