last,first,name,height,DOB,homeTown,year,season,city,state,country
Bennett,Luther,Luther Bennett,-,,,1917,1917-18,,,
Jost,Nelson,Nelson Jost,-,,,1917,1917-18,,,
Leatherbee,Harold,Harold Leatherbee,-,,,1917,1917-18,,,
Morton,Vincent,Vincent Morton,-,,,1917,1917-18,,,
O'Hare,John,John O'Hare,-,,,1917,1917-18,,,
Pond,Warren,Warren Pond,-,,,1917,1917-18,,,
Rasmussen,Paul,Paul Rasmussen,-,,,1917,1917-18,,,
Evers,Andrew,Andrew Evers,-,,,1919,1919-20,,,
Goodrich,Charles,Charles Goodrich,-,,,1919,1919-20,,,
Hersey,Edward,Edward Hersey,-,,,1919,1919-20,,,
Mutty,John,John Mutty,-,,,1919,1919-20,,,
Pinkham,Clifford,Clifford Pinkham,-,,,1919,1919-20,,,
Richardson,Philip,Philip Richardson,-,,,1919,1919-20,,,
Roeske,Henry,Henry Roeske,-,,,1919,1919-20,,,
Sears,Robert,Robert Sears,-,,,1919,1919-20,,,
Spinney,Hazen,Hazen Spinney,-,,,1919,1919-20,,,
Sullivan,Warren,Warren Sullivan,-,,,1919,1919-20,,,
Almer,Joseph,Joseph Almer,-,,,1922,1922-23,,,
Anderson,Carl,Carl Anderson,-,,,1922,1922-23,,,
Beauchemin,Joe,Joe Beauchemin,-,,,1922,1922-23,,,
Blais,Robert,Robert Blais,-,,,1922,1922-23,,,
Cochrane,Mickey,Mickey Cochrane,-,,,1922,1922-23,,,
Diehl,John,John Diehl,-,,,1922,1922-23,,,
Frazier,-,- Frazier,-,,,1922,1922-23,,,
Kelley,Peter,Peter Kelley,-,,,1922,1922-23,,,
Kontoff,Morey,Morey Kontoff,-,,,1922,1922-23,,,
Ling,Rod,Rod Ling,-,,,1922,1922-23,,,
McArdle,Harry,Harry McArdle,-,,,1922,1922-23,,,
Provost,Adolphus,Adolphus Provost,-,,,1922,1922-23,,,
Rosenfield,Louis,Louis Rosenfield,-,,,1922,1922-23,,,
Sterling,George,George Sterling,-,,,1922,1922-23,,,
Wennerberg,William,William Wennerberg,-,,,1922,1922-23,,,
Almer,Joseph,Joseph Almer,-,,,1923,1923-24,,,
Ashcraft,Arle,Arle Ashcraft,-,,,1923,1923-24,,,
Blais,Robert,Robert Blais,-,,,1923,1923-24,,,
Brown,Joe,Joe Brown,-,,,1923,1923-24,,,
Burke,Edmund,Edmund Burke,-,,,1923,1923-24,,,
Feldman,George,George Feldman,-,,,1923,1923-24,,,
Hurteau,Oscar,Oscar Hurteau,-,,,1923,1923-24,,,
Kelley,Peter,Peter Kelley,-,,,1923,1923-24,,,
Kontoff,Morey,Morey Kontoff,-,,,1923,1923-24,,,
Ling,Rod,Rod Ling,-,,,1923,1923-24,,,
McRae,-,- McRae,-,,,1923,1923-24,,,
Morrison,Sanfield,Sanfield Morrison,-,,,1923,1923-24,,,
Provost,Adolphus,Adolphus Provost,-,,,1923,1923-24,,,
Robertson,-,- Robertson,-,,,1923,1923-24,,,
Wennerberg,William,William Wennerberg,-,,,1923,1923-24,,,
Duane,David,David Duane,-,,,1924,1924-25,,,
Goldfine,David,David Goldfine,-,,,1924,1924-25,,,
Gregoire,Ovila,Ovila Gregoire,-,,,1924,1924-25,,,
Kelley,Peter,Peter Kelley,-,,,1924,1924-25,,,
Kontoff,Morey,Morey Kontoff,-,,,1924,1924-25,,,
Kontoff,Julian,Julian Kontoff,-,,,1924,1924-25,,,
Lawless,John,John Lawless,-,,,1924,1924-25,,,
Ling,Rod,Rod Ling,-,,,1924,1924-25,,,
Martin,Donald,Donald Martin,-,,,1924,1924-25,,,
Scott,Chester,Chester Scott,-,,,1924,1924-25,,,
Scribner,-,- Scribner,-,,,1924,1924-25,,,
Viano,Charles,Charles Viano,-,,,1924,1924-25,,,
Wennerberg,William,William Wennerberg,-,,,1924,1924-25,,,
Cummings,Thomas,Thomas Cummings,-,,,1925,1925-26,,,
Duane,David,David Duane,-,,,1925,1925-26,,,
