trophy,years won,type
National Championship,"1971, 1972, 1978, 1995, 2009",National
National Runner-Up,"1950, 1967, 1991, 1994, 1997, 2015, 2025",National
Frozen Four,"1950, 1951, 1953, 1960, 1966, 1967, 1971, 1972, 1974, 1975, 1976, 1977, 1978, 1990, 1991, 1993, 1994, 1995, 1996, 1997, 2009, 2015, 2023, 2024, 2025",National
NCAA Tournament Appearance,"1950, 1951, 1953, 1960, 1966, 1967, 1971, 1972, 1974, 1975, 1976, 1977, 1978, 1984, 1986, 1990, 1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 2000, 2002, 2003, 2005, 2006, 2007, 2009, 2012, 2015, 2016, 2017, 2018, 2021, 2023, 2024, 2025",National
NEIHL Tournament,"1951, 1952",Conference
ECAC Tournament,"1972, 1974, 1975, 1976, 1977",Conference
Hockey East Tournament,"1986, 1991, 1994, 1995, 1997, 2006, 2009, 2015, 2018, 2023",Conference
NEIHL Regular Season,"1938, 1939, 1947, 1948, 1950",Conference
ECAC Regular Season,"1965, 1967, 1971, 1976, 1978, 1979",Conference
Hockey East Regular Season,"1994, 1995, 1996, 1997, 1998, 2000, 2006, 2009, 2015, 2017, 2023",Conference
Beanpot,"1958, 1966, 1967, 1968, 1970, 1971, 1972, 1973, 1975, 1978, 1979, 1982, 1986, 1987, 1990, 1991, 1992, 1995, 1996, 1997, 1998, 1999, 2000, 2002, 2003, 2005, 2006, 2007, 2009, 2015, 2022, 2025",Mid-Season Tournament
Great Lakes Invitational,2002,Mid-Season Tournament
Ice Breaker Tournament,"2002, 2008, 2010",Mid-Season Tournament
Red Hot Hockey (Kelley-Harkness Cup),"2007, 2011, 2013, 2025",Mid-Season Tournament
Friendship Four,2024,Mid-Season Tournament
Denver Cup,2008,Mid-Season Tournament
Johnson Nissan Classic,1999,Mid-Season Tournament
Badger Showdown,"1992, 1995",Mid-Season Tournament
Mariucci Classic,1994,Mid-Season Tournament
Auld Lang Syne Tournament,1991,Mid-Season Tournament
Syracuse Invitational Tournament,1982,Mid-Season Tournament
Colonial Bank Hockey Invitational,1980,Mid-Season Tournament
ECAC Holiday Hockey Festival,"1966, 1977",Mid-Season Tournament
St. Louis Fireman’s Tournament,1974,Mid-Season Tournament
ECAC Christmas Hockey Tournament,1971,Mid-Season Tournament
Boston Arena Christmas Tournament,"1957, 1967, 1968, 1969, 1970",Mid-Season Tournament
New Brunswick Invitational,1968,Mid-Season Tournament
Boston Garden Christmas Hockey Festival,1964,Mid-Season Tournament
