season,captain
1917-18,Nelson Jost
1919-20,Edward Hersey
1922-23,No Captain
1923-24,Joseph Almer
1923-24,Adolphus Provost
1924-25,Morey Kontoff
1925-26,Rod Ling
1926-27,Charles Viano
1927-28,John Lawless
1928-29,William Gibson
1928-29,Sydney Silberberg
1929-30,Paul Bergholtz
1930-31,Paul Bergholtz
1931-32,Ronald Weafer
1932-33,Walter Bender
1933-34,John Ullman
1934-35,John Lax
1934-35,Paul Rowe
1935-36,Dexter Wesson
1936-37,Russell Lynch
1937-38,Gerry Desrosiers
1937-38,George Hoar
1938-39,Al Carvelli
1939-40,Joe Conaty
1939-40,Ed Richardson
1940-41,Paul Brown
1941-42,Henry Sullivan
1942-43,James Davidson
1945-46,Game Captains
1946-47,Francis Anderson
1947-48,Benjamin Forbes
1948-49,Bill Kirrane
1949-50,Ralph Bevins
1950-51,Ed Cahoon
1950-51,Jack Garrity
1951-52,Dick Kelley
1952-53,Paul Kelley
1953-54,Bob Rousseau
1954-55,Tom Dwyer
1955-56,Jack Murphy
1956-57,Joe Quinn
1956-57,Mike Manning
1957-58,Bob Dupuis
1957-58,Sarge Kinlin
1958-59,Larry Creighton
1958-59,Ron DiVincenzo
1959-60,Bob Marquis
1959-60,Bill McCormack
1960-61,Bill Quinn
1961-62,Bob Smith
1962-63,Mike Denihan
1963-64,Alden Sampson
1963-64,Richard Green
1964-65,Bob Martell
1964-65,Bob Sylvia
1965-66,Dennis O'Connell
1966-67,Jim Quinn
1966-67,Pete McLachlan
1967-68,Jack Parker
1968-69,Bill Hinch
1969-70,Larry Davenport
1969-70,Dick Toomey
1970-71,Steve Stirling
1971-72,John Danby
1972-73,David Wisener
1973-74,Ed Walsh
1974-75,Vic Stanfield
1975-76,Terry Meagher
1975-76,Peter Brown
1976-77,Rick Meagher
1976-77,Mike Eruzione
1977-78,Brian Durocher
1977-78,Jack O'Callahan
1978-79,Jack O'Callahan
1979-80,Tony Meagher
1980-81,Bill Cotter
1980-81,Daryl MacLeod
1981-82,Paul Fenton
1982-83,Jerry August
1982-83,Tom O'Regan
1983-84,T.J. Connolly
1984-85,Joe Delorey
1985-86,Peter Marshall
1985-86,Chris Matchett
1986-87,John Cullen
1987-88,David Quinn
1987-88,Tom Ryan
1988-89,Mike Kelfer
1989-90,Mike Sullivan
1990-91,Mark Krys
1991-92,Tom Dion
1992-93,Kevin O'Sullivan
1992-93,David Sacco
1993-94,Doug Friedman
1994-95,Jacques Joubert
1995-96,Jay Pandolfo
1996-97,Bill Pierce
1997-98,Chris Drury
1997-98,Chris Kelleher
1998-99,Albie O'Connell
1999-00,Tommi Degerman
2000-01,Carl Corazzini
2001-02,Chris Dyment
2001-02,Mike Pandolfo
2002-03,Freddy Meyer
2003-04,Mark Mullen
2004-05,Brian McConnell
2005-06,David Van der Gulik
2005-06,Brad Zancanaro
2006-07,Sean Sullivan
2007-08,Pete MacArthur
2007-08,Brian McGuirk
2008-09,Matt Gilroy
2008-09,John McCarthy
2009-10,Kevin Shattenkirk
2010-11,Chris Connolly
2010-11,Joe Pereira
2011-12,Chris Connolly
2012-13,Wade Megan
2013-14,Patrick MacGregor
2013-14,Garrett Noonan
2014-15,Matt Grzelcyk
2015-16,Matt Grzelcyk
2016-17,Doyle Somerby
2017-18,Brandon Hickey
2018-19,Bobo Carpenter
2018-19,Dante Fabbro
2019-20,Patrick Curry
2020-21,Logan Cockerill
2021-22,Logan Cockerill
2022-23,Domenick Fensore
2023-24,Case McCarthy
2024-25,Shane Lachance
2024-25,Ryan Greene
2025-26,Gavin McCarthy
