Year,Location,Name,Country,Medal
1932,"Lake Placid, N.Y.",Gordon Smith,United States,Silver
1936,"Garmisch-Portenkirchen, Germany",John Lax,United States,Bronze
1936,"Garmisch-Portenkirchen, Germany",Paul Rowe,United States,Bronze
1936,"Garmisch-Portenkirchen, Germany",Gordon Smith,United States,Bronze
1948,"St. Moritz, Switzerland",Jack Garrity,United States,
1952,"Oslo, Norway",Joseph "Red" Czarnota,United States,Silver
1956,"Cortina, Italy",Don Rigazio,United States,Silver
1956,"Cortina, Italy",Dick Rodenhiser,United States,Silver
1960,"Squaw Valley, California",Dick Rodenhiser,United States,Gold
1968,"Grenoble, France",Olivier Prechac,France,
1972,"Sapporo, Japan",Tim Regan,United States,Silver
1972,"Sapporo, Japan",Herb Wakabayashi,Japan,
1976,"Innsbruck, Austria",Dick Lamby,United States,
1976,"Innsbruck, Austria",Herb Wakabayashi,Japan,
1980,"Lake Placid, N.Y.",Mike Eruzione (C),United States,Gold
1980,"Lake Placid, N.Y.",Jim Craig,United States,Gold
1980,"Lake Placid, N.Y.",Jack O'Callahan,United States,Gold
1980,"Lake Placid, N.Y.",Dave Silk,United States,Gold
1980,"Lake Placid, N.Y.",Herb Wakabayashi (C),Japan,
1980,"Lake Placid, N.Y.",Dick Decloe,Netherlands,
1984,"Sarajevo, Yugoslavia",Grant Goegan,Italy,
1988,"Calgary, Alberta, Canada",Clark Donatelli,United States,
1988,"Calgary, Alberta, Canada",Scott Young,United States,
1992,"Albertville, France",Clark Donatelli (C),United States,
1992,"Albertville, France",Scott Lachance,United States,
1992,"Albertville, France",Shawn McEachern,United States,
1992,"Albertville, France",Joe Sacco,United States,
1992,"Albertville, France",Keith Tkachuk,United States,
1992,"Albertville, France",Scott Young,United States,
1994,"Lillehammer, Norway",Adrian Aucoin,Canada,Silver
1994,"Lillehammer, Norway",John Lilley,United States,
1994,"Lillehammer, Norway",Dave Sacco (A),United States,
1998,"Nagano, Japan",Tony Amonte,United States,
1998,"Nagano, Japan",Keith Tkachuk (A),United States,
2002,"Salt Lake City, Utah",Tony Amonte,United States,Silver
2002,"Salt Lake City, Utah",Chris Drury,United States,Silver
2002,"Salt Lake City, Utah",Tom Poti,United States,Silver
2002,"Salt Lake City, Utah",Keith Tkachuk,United States,Silver
2002,"Salt Lake City, Utah",Scott Young,United States,Silver
2006,"Turin, Italy",Rick DiPietro,United States,
2006,"Turin, Italy",Chris Drury,United States,
2006,"Turin, Italy",Keith Tkachuk (A),United States,
2010,"Vancouver, Canada",Chris Drury,United States,Silver
2010,"Vancouver, Canada",Ryan Whitney,United States,Silver
2014,"Sochi, Russia",Kevin Shattenkirk,United States,
2018,"Pyeongchang, South Korea",Chris Bourque,United States,
2018,"Pyeongchang, South Korea",Matt Gilroy (A),United States,
2018,"Pyeongchang, South Korea",Jordan Greenway,United States,
2018,"Pyeongchang, South Korea",John McCarthy,United States,
2022,"Beijing, China",Drew Commesso,United States,
2022,"Beijing, China",David Warsofsky,United States,
2022,"Beijing, China",Brandon Yip (C),China,
2026,"Milan-Cortina, Italy",Macklin Celebrini,Canada,Silver
2026,"Milan-Cortina, Italy",Jack Eichel,United States,Gold
2026,"Milan-Cortina, Italy",Charlie McAvoy (A),United States,Gold
2026,"Milan-Cortina, Italy",Clayton Keller,United States,Gold
2026,"Milan-Cortina, Italy",Brady Tkachuk,United States,Gold
2026,"Milan-Cortina, Italy",Jake Oettinger,United States,Gold
