RK,TEAM,DATE,SEASON
1,Wisconsin,1972-10-30,1973
2,North Dakota,1972-10-30,1973
3,Harvard,1972-10-30,1973
4,Denver,1972-10-30,1973
5,Michigan Tech,1972-10-30,1973
6,Cornell,1972-10-30,1973
7,Boston College,1972-10-30,1973
8,Notre Dame,1972-10-30,1973
9,Boston University,1972-10-30,1973
10,Clarkson,1972-10-30,1973
1,Wisconsin,1972-11-06,1973
2,Michigan Tech,1972-11-06,1973
3,North Dakota,1972-11-06,1973
4,Harvard,1972-11-06,1973
5,Cornell,1972-11-06,1973
6,Denver,1972-11-06,1973
7,Boston University,1972-11-06,1973
8,Bowling Green State,1972-11-06,1973
8,Colorado College,1972-11-06,1973
10,Clarkson,1972-11-06,1973
1,Wisconsin,1972-11-13,1973
2,Michigan Tech,1972-11-13,1973
3,Denver,1972-11-13,1973
4,North Dakota,1972-11-13,1973
5,Harvard,1972-11-13,1973
6,Cornell,1972-11-13,1973
7,Notre Dame,1972-11-13,1973
8,Boston University,1972-11-13,1973
9,Clarkson,1972-11-13,1973
10,Lake Superior State,1972-11-13,1973
1,Wisconsin,1972-11-20,1973
2,Michigan Tech,1972-11-20,1973
3,Denver,1972-11-20,1973
4,Harvard,1972-11-20,1973
5,North Dakota,1972-11-20,1973
6,Cornell,1972-11-20,1973
7,Boston University,1972-11-20,1973
8,Michigan State,1972-11-20,1973
9,Clarkson,1972-11-20,1973
10,Notre Dame,1972-11-20,1973
1,Wisconsin,1972-11-27,1973
2,Michigan Tech,1972-11-27,1973
3,Denver,1972-11-27,1973
4,Boston University,1972-11-27,1973
5,North Dakota,1972-11-27,1973
6,Harvard,1972-11-27,1973
7,Cornell,1972-11-27,1973
8,Clarkson,1972-11-27,1973
9,Michigan State,1972-11-27,1973
10,Notre Dame,1972-11-27,1973
1,Wisconsin,1972-12-04,1973
2,Denver,1972-12-04,1973
3,Michigan Tech,1972-12-04,1973
4,Harvard,1972-12-04,1973
5,Boston University,1972-12-04,1973
5,Cornell,1972-12-04,1973
7,Michigan State,1972-12-04,1973
8,North Dakota,1972-12-04,1973
9,Clarkson,1972-12-04,1973
10,Pennsylvania,1972-12-04,1973
1,Wisconsin,1972-12-11,1973
2,Harvard,1972-12-11,1973
3,Denver,1972-12-11,1973
4,Michigan Tech,1972-12-11,1973
5,Cornell,1972-12-11,1973
6,Boston University,1972-12-11,1973
7,Michigan State,1972-12-11,1973
8,North Dakota,1972-12-11,1973
9,Clarkson,1972-12-11,1973
10,St. Louis,1972-12-11,1973
1,Wisconsin,1972-12-18,1973
