name,Career,Source
Art Shannon,1952–53,Northeastern
Don Aiken,1952–55,Army
Scott Nieland,1977–80,North Dakota
John Corriveau,1977–79,New Hampshire
Donald Marshall,1978–80,Union
Steve Simpson,1979–81,Air Force
Jacques Joubert,1992–95,Princeton
Rich Alger,1995–97,Massachusetts
J.D. Carrabino,2013–16,Clarkson
Drew Melanson,2017–18,Rensselaer
Max Willman,2018–19,Brown
Alex Brink,2019–20,Brown
Sam Tucker,2019–20,Yale
Joseph Campolieto,2020–22,Union
Max Kaufman,2020–22,Vermont
Jay O'Brien,2020–23,Providence
Matt Brown,2021–23,Mass.–Lowell
Jack Hughes,2023–25,Northeastern
Mathieu Caron,2023–25,Brown
Henry Graham,2023–24,Massachusetts
Brehdan Engum,2024–25,Mass.–Lowell
Matt Copponi,2024–25,Merrimack
Sacha Boisvert,2025–26,North Dakota
Owen McLaughlin,2025–26,North Dakota
