id,ageInDays,ageInDaysForYear,ageInYears,amateurClubName,amateurLeague,birthDate,birthPlace,countryCode,csPlayerId,draftDate,draftMasterId,draftYear,draftedByTeamId,firstName,height,lastName,notes,overallPickNumber,pickInRound,playerId,playerName,position,removedOutright,removedOutrightWhy,roundNumber,shootsCatches,supplementalDraft,teamPickHistory,triCode,weight
7305,7341.0,36.0,20.0,Boston University,NCAA,1950-05-06,"Chatham, ON  CAN",CAN,,1970-06-11,8,1970,10,Bob,73.0,Gryp,,50,8,8446654,Bob Gryp,LW,N,,4,L,N,TOR,TOR,190.0
7335,7115.0,175.0,19.0,Boston University,NCAA,1950-12-18,"Toronto, ON  CAN",CAN,,1970-06-11,8,1970,8,Robert,73.0,Brown,,80,10,,Robert Brown,D,N,,6,R,N,MTL,MTL,185.0
7339,7470.0,165.0,20.0,Boston University,NCAA,1949-12-28,"Providence, RI  USA",USA,,1970-06-11,8,1970,7,Tim,75.0,Regan,,84,1,,Tim Regan,G,N,,7,L,N,BUF,BUF,188.0
7360,7377.0,72.0,20.0,Boston University,NCAA,1950-03-31,"Toronto, ON  CAN",CAN,,1970-06-11,8,1970,8,Richard,75.0,Jordan,,106,10,8456752,Richard Jordan,LW,N,,8,L,N,MTL,MTL,196.0
7706,7204.0,264.0,19.0,Boston University,NCAA,1953-08-24,"Charlestown, MA  USA",USA,,1973-05-15,11,1973,23,Paul,73.0,O'Neil,,67,3,8448059,Paul O'Neil,C,N,,5,R,N,VAN,VAN,185.0
7925,7374.0,69.0,20.0,Boston University,NCAA,1954-03-21,"Boston, MA  USA",USA,,1974-05-29,12,1974,47,Peter,74.0,Brown,,118,10,,Peter Brown,D,N,,7,R,N,AFM,AFM,180.0
8188,7336.0,31.0,20.0,Salem State College,NCAA,1955-05-03,"Auburn, MA  USA",USA,,1975-06-03,13,1975,19,Dick,73.0,Lamby,,135,9,8448652,Dick Lamby,D,N,,8,R,N,STL,STL,200.0
8261,7277.0,337.0,19.0,U. of New Hampshire,NCAA,1955-07-01,"Manchester, NH  USA",USA,,1975-06-03,13,1975,3,John,72.0,Corriveau,,209,1,8455939,John Corriveau,RW,N,,15,,N,NYR,NYR,194.0
8310,7226.0,287.0,19.0,Boston University,NCAA,1956-08-19,"Everett, MA  USA",USA,,1976-06-01,14,1976,56,Mike,71.0,Fidler,,41,5,8446819,Mike Fidler,LW,N,,3,L,N,CGS,CGS,195.0
8476,7319.0,14.0,20.0,Boston University,NCAA,1957-05-31,"North Easton, ME  USA",USA,,1977-06-14,15,1977,47,Jim,72.0,Craig,,72,18,8446212,Jim Craig,G,N,,4,L,N,AFM,AFM,189.0
8500,7265.0,325.0,19.0,Boston University,NCAA,1957-07-24,"Charlestown, MA  USA",USA,,1977-06-14,15,1977,16,Jack,72.0,O'Callahan,,96,6,8449949,Jack O'Callahan,D,N,,6,R,N,CHI,CHI,187.0
8502,7455.0,150.0,20.0,Boston University,NCAA,1957-01-15,"Montreal, QC  CAN",CAN,,1977-06-14,15,1977,3,John,71.0,Bethel,,98,8,8445454,John Bethel,LW,N,,6,L,N,NYR,NYR,185.0
8586,7386.0,81.0,20.0,Boston University,NCAA,1957-03-25,"Pointe-Claire, QC  CAN",CAN,,1977-06-14,15,1977,8,Robert,71.0,Boileau,,182,2,8445586,Robert Boileau,LW,N,,15,L,N,MTL,MTL,180.0
8648,7470.0,165.0,20.0,Boston University,NCAA,1958-01-01,"Situate, MA  USA",USA,,1978-06-15,16,1978,3,Dave,70.0,Silk,,59,6,8451361,Dave Silk,RW,N,,4,R,N,NYR,NYR,189.0
8674,6700.0,125.0,18.0,Boston University,NCAA,1960-02-10,"Charlestown, MA  USA",USA,,1978-06-15,16,1978,6,Darryl,70.0,McLeod,,85,16,,Darryl McLeod,LW,N,,5,,N,BOS,BOS,185.0
8729,,,,Boston University,NCAA,,"Belleville, ON  CAN",CAN,,1978-06-15,16,1978,19,Tony,69.0,Meagher,,140,3,8457344,Tony Meagher,RW,N,,9,R,N,STL,STL,165.0
8800,7444.0,139.0,20.0,Oshawa Generals,OHA,1958-01-27,"Toronto, ON  CAN",CAN,,1978-06-15,16,1978,19,Mike,74.0,Pidgeon,,211,10,8457673.0,Mike Pidgeon,C,N,,13,L,N,STL,STL,188.0
8806,7365.0,60.0,20.0,Boston University,NCAA,1958-04-16,"Newton, MA  USA",USA,,1978-06-15,16,1978,3,Todd,70.0,Johnson,,217,5,8456738,Todd Johnson,C,N,,14,L,N,NYR,NYR,175.0
8884,7286.0,346.0,19.0,Boston University,NCAA,1959-08-28,"Everett, MA  USA",USA,,1979-08-09,17,1979,33,William,73.0,Whelton,,61,20,8452419,William Whelton,D,N,,3,L,N,WIN,WIN,185.0
9278,6926.0,351.0,18.0,Boston University,NCAA,1962-06-24,"Brookline, MA  USA",USA,,1981-06-10,19,1981,6,Bruce,75.0,Milton,,119,14,8457395,Bruce Milton,D,N,,6,,N,BOS,BOS,196.0
9517,6619.0,45.0,18.0,Winthrop H.S.,Mass.,1964-04-25,"Winthrop, MA  USA",USA,,1982-06-09,20,1982,2,John,71.0,Tiano,,147,21,8458218,John Tiano,C,N,,7,,N,NYI,NYI,185.0
9741,6525.0,316.0,17.0,St. Albert Saints,AJHL,1965-07-27,"Edmonton, AB  CAN",CAN,,1983-06-08,21,1983,6,Terry,72.0,Taillefer,,122,20,8451842,Terry Taillefer,G,N,,6,L,N,BOS,BOS,174.0
9784,6650.0,76.0,18.0,Mount St. Charles H.S.,R.I.,1965-03-24,"Providence, RI  USA",USA,,1983-06-08,21,1983,1,Jay,70.0,Octeau,,165,3,8457565,Jay Octeau,D,N,,9,R,N,NJD,NJD,180.0
9811,7077.0,137.0,19.0,St. John's Prep,HIGH-MA,1964-01-22,"Newport, RI  USA",USA,,1983-06-08,21,1983,32,Scott,75.0,Shaunessy,,192,10,8451330,Scott Shaunessy,RW,N,,10,L,N,QUE,QUE,220.0
9874,6524.0,315.0,17.0,Kent H.S.,Conn.,1966-07-30,"Cranston, RI  USA",USA,,1984-06-09,22,1984,31,David,72.0,Quinn,,13,13,8457744,David Quinn,D,N,,1,L,N,MNS,MNS,205.0
9959,6774.0,200.0,18.0,Stratford Jr. A,OHA,1965-11-22,"Providence, RI  USA",USA,,1984-06-09,22,1984,3,Clark,70.0,Donatelli,,98,14,8446452,Clark Donatelli,LW,N,,5,L,N,NYR,NYR,180.0
9988,6723.0,149.0,18.0,Newton North H.S.,Mass.,1966-01-12,"West Newton, MA  USA",USA,,1984-06-09,22,1984,5,Tom,70.0,Ryan,,127,1,8457898,Tom Ryan,D,N,,7,R,N,PIT,PIT,169.0
10043,6683.0,109.0,18.0,HIFK Helsinki,FINLAND,1966-02-21,"Alajarvi, Finland",FIN,,1984-06-09,22,1984,3,Ville,70.0,Kentala,,182,14,8456822,Ville Kentala,LW,N,,9,L,N,NYR,NYR,187.0
10059,6939.0,365.0,18.0,Boston University,NCAA,1965-06-10,"Revere, MA  USA",USA,,1984-06-09,22,1984,23,Ed,74.0,Lowney,,199,10,8457109,Ed Lowney,RW,N,,10,R,N,VAN,VAN,182.0
10208,6705.0,130.0,18.0,Boston University,NCAA,1967-02-05,"Sherwood Park, AB  CAN",CAN,,1985-06-15,23,1985,2,Jeff,71.0,Sveen,,97,13,8458162,Jeff Sveen,C,N,,5,R,N,NYI,NYI,170.0
10243,6739.0,164.0,18.0,St. John's Prep,HIGH-MA,1967-01-02,"Peabody, MA  USA",USA,,1985-06-15,23,1985,31,Michael,70.0,Kelfer,,132,6,8456804,Michael Kelfer,RW,N,,7,R,N,MNS,MNS,180.0
10302,6614.0,39.0,18.0,Reading H.S.,Mass.,1967-05-07,"Reading, MA  USA",USA,,1985-06-15,23,1985,5,Steve,76.0,Shaunessy,,191,2,8457997,Steve Shaunessy,D,N,,10,L,N,PIT,PIT,220.0
10341,6723.0,148.0,18.0,Notre Dame H.S.,Sask.,1967-01-18,"Maryston, NL  CAN",CAN,,1985-06-15,23,1985,22,Peter,72.0,Headon,,230,20,8456543,Peter Headon,LW,N,,11,L,N,EDM,EDM,189.0
10374,6838.0,263.0,18.0,Boston University,NCAA,1967-10-01,"Clinton, MA  USA",USA,,1986-06-21,24,1986,34,Scott,73.0,Young,,11,11,8452569,Scott Young,RW,N,,1,R,N,HFD,HFD,200.0
10460,6605.0,31.0,18.0,St. Albert Saints,AJHL,1968-05-21,"Edmonton, AB  CAN",CAN,,1986-06-21,24,1986,6,Matthew,74.0,Pesklewis,,97,13,8457662,Matthew Pesklewis,LW,N,,5,,N,BOS,BOS,185.0
10489,6921.0,346.0,18.0,Boston University,NCAA,1967-07-10,"Edmonton, AB  CAN",CAN,,1986-06-21,24,1986,22,Jim,72.0,Ennis,,126,21,8446683,Jim Ennis,D,N,,6,L,N,EDM,EDM,200.0
10570,6881.0,306.0,18.0,Canterbury H.S.,Conn.,1967-08-19,"St. Charles, IL  USA",USA,,1986-06-21,24,1986,32,Chris,72.0,Lappin,,207,18,8456978,Chris Lappin,D,N,,10,,N,QUE,QUE,190.0
10684,7046.0,106.0,19.0,Boston University,NCAA,1968-02-27,"Marshfield, MA  USA",USA,,1987-06-13,26,1987,3,Mike,74.0,Sullivan,,69,6,8458155,Mike Sullivan,C,N,,4,L,N,NYR,NYR,211.0
