name,pos,seasonType,season,team,gp,goals,assists,pts,pim,+/-
John Aiken,G,Regular Season,1957-58,Montréal Canadiens,1,0,0,0,0,
Bob Gryp,F,Regular Season,1973-74,Boston Bruins,1,0,0,0,0,-2
Paul O'Neil,F,Regular Season,1973-74,Vancouver Canucks,5,0,0,0,0,-2
Ron Anderson,F,Regular Season,1974-75,Washington Capitals,28,9,7,16,8,-20
Bob Gryp,F,Regular Season,1974-75,Washington Capitals,27,5,8,13,21,-24
Paul O'Neil,F,Regular Season,1975-76,Boston Bruins,1,0,0,0,0,-1
Bob Gryp,F,Regular Season,1975-76,Washington Capitals,46,6,5,11,12,-18
Ken Kuzyk,F,Regular Season,1976-77,Cleveland Barons,13,0,5,5,2,1
Mike Fidler,F,Regular Season,1976-77,Cleveland Barons,46,17,16,33,17,-5
Ken Kuzyk,F,Regular Season,1977-78,Cleveland Barons,28,5,4,9,6,-1
Mike Fidler,F,Regular Season,1977-78,Cleveland Barons,78,23,28,51,38,-12
Dick Lamby,D,Regular Season,1978-79,St. Louis Blues,9,0,4,4,12,5
Mike Fidler,F,Regular Season,1978-79,Minnesota North Stars,59,23,26,49,42,-25
John Bethel,F,Regular Season,1979-80,Winnipeg Jets (1979),17,0,2,2,4,-3
Dick Lamby,D,Regular Season,1979-80,St. Louis Blues,12,0,1,1,10,-7
Rick Meagher,F,Regular Season,1979-80,Montréal Canadiens,2,0,0,0,0,0
Jim Craig,G,Regular Season,1979-80,Atlanta Flames,4,0,0,0,0,
Mike Fidler,F,Regular Season,1979-80,Minnesota North Stars,24,5,4,9,13,3
Dave Silk,F,Regular Season,1979-80,New York Rangers,2,0,0,0,0,1
Jim Craig,G,Regular Season,1980-81,Boston Bruins,23,0,1,0,11,
Dave Silk,F,Regular Season,1980-81,New York Rangers,59,14,12,26,58,-24
Dick Lamby,D,Regular Season,1980-81,St. Louis Blues,1,0,0,0,0,-1
Bill Whelton,D,Regular Season,1980-81,Winnipeg Jets (1979),2,0,0,0,0,-1
Rick Meagher,F,Regular Season,1980-81,Hartford Whalers,27,7,10,17,19,2
Mike Fidler,F,Regular Season,1980-81,Hartford Whalers,38,9,9,18,4,-16
Mike Fidler,F,Regular Season,1980-81,Minnesota North Stars,20,5,12,17,6,5
Dave Silk,F,Regular Season,1981-82,New York Rangers,64,15,20,35,39,15
Rick Meagher,F,Regular Season,1981-82,Hartford Whalers,65,24,19,43,51,-5
Mike Fidler,F,Regular Season,1981-82,Hartford Whalers,2,0,1,1,0,0
Dave Silk,F,Playoffs,1981-82,New York Rangers,9,2,4,6,4,0
Paul Miller,F,Regular Season,1981-82,Colorado Rockies,3,0,3,3,0,2
Jack O'Callahan,D,Regular Season,1982-83,Chicago Blackhawks,39,0,11,11,46,9
Mike Fidler,F,Regular Season,1982-83,Chicago Blackhawks,4,2,1,3,4,-1
Dave Silk,F,Regular Season,1982-83,New York Rangers,16,1,1,2,15,-3
Rick Meagher,F,Regular Season,1982-83,Hartford Whalers,4,0,0,0,0,-3
Rick Meagher,F,Regular Season,1982-83,New Jersey Devils,57,15,14,29,11,-17
Jack O'Callahan,D,Playoffs,1982-83,Chicago Blackhawks,5,0,2,2,2,3
Dave Silk,F,Playoffs,1983-84,Boston Bruins,3,0,0,0,7,-3
Dave Silk,F,Regular Season,1983-84,Boston Bruins,35,13,17,30,64,11
Tom O'Regan,F,Regular Season,1983-84,Pittsburgh Penguins,51,4,10,14,8,-19
Jim Craig,G,Regular Season,1983-84,Minnesota North Stars,3,0,0,0,0,
Rick Meagher,F,Regular Season,1983-84,New Jersey Devils,52,14,14,28,16,-9
Jack O'Callahan,D,Regular Season,1983-84,Chicago Blackhawks,70,4,13,17,67,-8
Jack O'Callahan,D,Playoffs,1983-84,Chicago Blackhawks,2,0,0,0,2,-1
Cleon Daskalakis,G,Regular Season,1984-85,Boston Bruins,8,0,0,0,0,
Tom O'Regan,F,Regular Season,1984-85,Pittsburgh Penguins,1,0,0,0,0,-1
Rick Meagher,F,Regular Season,1984-85,New Jersey Devils,71,11,20,31,22,-14
Paul Fenton,F,Regular Season,1984-85,Hartford Whalers,33,7,5,12,10,7
Dave Silk,F,Regular Season,1984-85,Detroit Red Wings,12,2,0,2,10,-5
Dave Silk,F,Regular Season,1984-85,Boston Bruins,29,7,5,12,22,3
Jack O'Callahan,D,Regular Season,1984-85,Chicago Blackhawks,66,6,8,14,105,4
Jack O'Callahan,D,Playoffs,1984-85,Chicago Blackhawks,15,3,5,8,25,0
Rick Meagher,F,Playoffs,1985-86,St. Louis Blues,19,4,4,8,12,9
Tom O'Regan,F,Regular Season,1985-86,Pittsburgh Penguins,9,1,2,3,2,1
Rick Meagher,F,Regular Season,1985-86,St. Louis Blues,79,11,19,30,28,0
Jack O'Callahan,D,Playoffs,1985-86,Chicago Blackhawks,3,0,1,1,4,-3
Dave Silk,F,Regular Season,1985-86,Winnipeg Jets (1979),32,2,4,6,63,-6
Dave Silk,F,Playoffs,1985-86,Winnipeg Jets (1979),1,0,0,0,2,1
Paul Fenton,F,Regular Season,1985-86,Hartford Whalers,1,0,0,0,0,1
Dale Dunbar,D,Regular Season,1985-86,Vancouver Canucks,1,0,0,0,2,0
Cleon Daskalakis,G,Regular Season,1985-86,Boston Bruins,2,0,0,0,0,
Jack O'Callahan,D,Regular Season,1985-86,Chicago Blackhawks,80,4,19,23,116,2
Rick Meagher,F,Regular Season,1986-87,St. Louis Blues,80,18,21,39,54,-6
Jack O'Callahan,D,Regular Season,1986-87,Chicago Blackhawks,48,1,13,14,59,14
Paul Fenton,F,Regular Season,1986-87,New York Rangers,8,0,0,0,2,-5
Jack O'Callahan,D,Playoffs,1986-87,Chicago Blackhawks,2,0,0,0,2,0
Scott Shaunessy,F,Regular Season,1986-87,Quebec Nordiques,3,0,0,0,7,-1
Cleon Daskalakis,G,Regular Season,1986-87,Boston Bruins,2,0,0,0,0,
Rick Meagher,F,Playoffs,1986-87,St. Louis Blues,6,0,0,0,11,-4
