last,first,name,height,DOB,homeTown,year,team,city,state,country
Bennett,Luther,Luther Bennett,- ,,,1917,BU,,,
Jost,Nelson,Nelson Jost,- ,,,1917,BU,,,
Leatherbee,Harold,Harold Leatherbee,- ,,,1917,BU,,,
Morton,Vincent,Vincent Morton,- ,,,1917,BU,,,
O'Hare,John,John O'Hare,- ,,,1917,BU,,,
Pond,Warren,Warren Pond,- ,,,1917,BU,,,
Rasmussen,Paul,Paul Rasmussen,- ,,,1917,BU,,,
Evers,Andrew,Andrew Evers,- ,,,1919,BU,,,
Goodrich,Charles,Charles Goodrich,- ,,,1919,BU,,,
Hersey,Edward,Edward Hersey,- ,,,1919,BU,,,
Mutty,John,John Mutty,- ,,,1919,BU,,,
Pinkham,Clifford,Clifford Pinkham,- ,,,1919,BU,,,
Richardson,Philip,Philip Richardson,- ,,,1919,BU,,,
Roeske,Henry,Henry Roeske,- ,,,1919,BU,,,
Sears,Robert,Robert Sears,- ,,,1919,BU,,,
Spinney,Hazen,Hazen Spinney,- ,,,1919,BU,,,
Sullivan,Warren,Warren Sullivan,- ,,,1919,BU,,,
Almer,Ernest,Ernest Almer,- ,,,1922,BU,,,
Anderson,Carl,Carl Anderson,- ,,,1922,BU,,,
Beauchemin,Joe,Joe Beauchemin,- ,,,1922,BU,,,
Blais,Robert,Robert Blais,- ,,,1922,BU,,,
Cochrane,Mickey,Mickey Cochrane,- ,,,1922,BU,,,
Diehl,John,John Diehl,- ,,,1922,BU,,,
Frazier,X,X Frazier,- ,,,1922,BU,,,
Kelley,Peter,Peter Kelley,- ,,,1922,BU,,,
Kontoff,Morris,Morris Kontoff,- ,,,1922,BU,,,
Ling,Roderick,Roderick Ling,- ,,,1922,BU,,,
McArdle,Harry,Harry McArdle,- ,,,1922,BU,,,
Provost,Adolphus,Adolphus Provost,- ,,,1922,BU,,,
Rosenfield,Louis,Louis Rosenfield,- ,,,1922,BU,,,
Sterling,George,George Sterling,- ,,,1922,BU,,,
Wennerberg,William,William Wennerberg,- ,,,1922,BU,,,
Almer,Ernest,Ernest Almer,- ,,,1923,BU,,,
Ashcraft,Arle,Arle Ashcraft,- ,,,1923,BU,,,
Blais,Robert,Robert Blais,- ,,,1923,BU,,,
Brown,Joe,Joe Brown,- ,,,1923,BU,,,
Burke,Edmund,Edmund Burke,- ,,,1923,BU,,,
Feldman,George,George Feldman,- ,,,1923,BU,,,
Hurteau,Oscar,Oscar Hurteau,- ,,,1923,BU,,,
Kelley,Peter,Peter Kelley,- ,,,1923,BU,,,
Kontoff,Morris,Morris Kontoff,- ,,,1923,BU,,,
Ling,Roderick,Roderick Ling,- ,,,1923,BU,,,
McRae,X,X McRae,- ,,,1923,BU,,,
Morrison,Sanfield,Sanfield Morrison,- ,,,1923,BU,,,
Provost,Adolphus,Adolphus Provost,- ,,,1923,BU,,,
Robertson,X,X Robertson,- ,,,1923,BU,,,
Wennerberg,William,William Wennerberg,- ,,,1923,BU,,,
Duane,David,David Duane,- ,,,1924,BU,,,
Goldfine,David,David Goldfine,- ,,,1924,BU,,,
Gregoire,Ovila,Ovila Gregoire,- ,,,1924,BU,,,
Kelley,Peter,Peter Kelley,- ,,,1924,BU,,,
Kontoff,Morris,Morris Kontoff,- ,,,1924,BU,,,
Kontoff,Julian,Julian Kontoff,- ,,,1924,BU,,,
Lawless,John,John Lawless,- ,,,1924,BU,,,
Ling,Roderick,Roderick Ling,- ,,,1924,BU,,,
Martin,Donald,Donald Martin,- ,,,1924,BU,,,
Scott,Chester,Chester Scott,- ,,,1924,BU,,,
Scribner,X,X Scribner,- ,,,1924,BU,,,
Viano,Charles,Charles Viano,- ,,,1924,BU,,,
Wennerberg,William,William Wennerberg,- ,,,1924,BU,,,
Cummings,Thomas,Thomas Cummings,- ,,,1925,BU,,,
Duane,David,David Duane,- ,,,1925,BU,,,
Goodale,William,William Goodale,- ,,,1925,BU,,,
Gregoire,Ovila,Ovila Gregoire,- ,,,1925,BU,,,
Kontoff,Julian,Julian Kontoff,- ,,,1925,BU,,,
Lawless,John,John Lawless,- ,,,1925,BU,,,
Ling,Roderick,Roderick Ling,- ,,,1925,BU,,,
Martin,Donald,Donald Martin,- ,,,1925,BU,,,
McLean,X,X McLean,- ,,,1925,BU,,,
Scott,Chester,Chester Scott,- ,,,1925,BU,,,
Viano,Charles,Charles Viano,- ,,,1925,BU,,,
Wennerberg,William,William Wennerberg,- ,,,1925,BU,,,
Silberberg,Sydney,Sydney Silberberg,- ,,,1925,BU,,,
Breen,Richard,Richard Breen,- ,,,1926,BU,,,
Carnie,John,John Carnie,- ,,,1926,BU,,,
Crampton,Junie,Junie Crampton,- ,,,1926,BU,,,
