name,pos,seasonType,season,team,gp,goals,assists,pts
Abby Cook,D,Playoffs,2023-24,PWHL Boston,2,0,0,0
Abby Cook,D,Regular Season,2023-24,PWHL Minnesota,9,1,0,1
Abby Cook,D,Regular Season,2023-24,PWHL Boston,9,1,0,1
Corinne Schroeder,G,Regular Season,2023-24,PWHL New York,15,0,0,0
Jesse Compher,F,Regular Season,2023-24,PWHL Toronto,24,1,4,5
Jesse Compher,F,Playoffs,2023-24,PWHL Toronto,5,1,0,1
Kaleigh Fratkin,D,Playoffs,2023-24,PWHL Boston,8,0,0,0
Kaleigh Fratkin,D,Regular Season,2023-24,PWHL Boston,24,2,1,3
Marie-Philip Poulin,F,Playoffs,2023-24,PWHL Montreal,3,1,1,2
Marie-Philip Poulin,F,Regular Season,2023-24,PWHL Montreal,21,10,13,23
Rebecca Leslie,F,Playoffs,2023-24,PWHL Toronto,5,1,0,1
Rebecca Leslie,F,Regular Season,2023-24,PWHL Toronto,24,2,7,9
Sammy Davis,F,Regular Season,2023-24,PWHL Ottawa,9,0,0,0
Sarah Lefort,F,Playoffs,2023-24,PWHL Montreal,2,0,0,0
Sarah Lefort,F,Regular Season,2023-24,PWHL Montreal,24,1,4,5
Victoria Bach,F,Playoffs,2023-24,PWHL Toronto,5,0,1,1
Victoria Bach,F,Regular Season,2023-24,PWHL Toronto,16,2,3,5
Corinne Schroeder,G,Regular Season,2024-25,New York Sirens,20,0,0,0
Jesse Compher,F,Regular Season,2024-25,Toronto Sceptres,30,9,9,18
Jesse Compher,F,Playoffs,2024-25,Toronto Sceptres,4,0,3,3
Marie-Philip Poulin,F,Playoffs,2024-25,Montréal Victoire,4,1,1,2
Marie-Philip Poulin,F,Regular Season,2024-25,Montréal Victoire,30,19,7,26
Rebecca Leslie,F,Playoffs,2024-25,Ottawa Charge,8,2,1,3
Rebecca Leslie,F,Regular Season,2024-25,Ottawa Charge,27,1,2,3
Victoria Bach,F,Playoffs,2024-25,Ottawa Charge,8,0,0,0
Victoria Bach,F,Regular Season,2024-25,Toronto Sceptres,6,0,0,0
Victoria Bach,F,Regular Season,2024-25,Ottawa Charge,24,2,3,5
Callie Shanahan,G,Regular Season,2025-26,New York Sirens,4,0,0,0
Corinne Schroeder,G,Regular Season,2025-26,Seattle Torrent,17,0,0,0
Jesse Compher,F,Regular Season,2025-26,Toronto Sceptres,30,6,6,12
Marie-Philip Poulin,F,Playoffs,2025-26,Montréal Victoire,9,2,6,8
Marie-Philip Poulin,F,Regular Season,2025-26,Montréal Victoire,19,9,9,18
Nadia Mattivi,D,Playoffs,2025-26,Montréal Victoire,4,0,1,1
Nadia Mattivi,D,Regular Season,2025-26,Montréal Victoire,6,0,0,0
Rebecca Leslie,F,Playoffs,2025-26,Ottawa Charge,8,4,2,6
Rebecca Leslie,F,Regular Season,2025-26,Ottawa Charge,30,14,9,23
Tamara Giaquinto,D,Regular Season,2025-26,Montréal Victoire,12,0,0,0
