Award,Year,Winner,Type
First Team All-American,Marie-Philip Poulin,2015,National
First Team All-American,Victoria Bach,2018,National
Second Team All-American,Catherine Ward,2011,National
Second Team All-American,Sarah Lefort,2014,National
Second Team All-American,Jesse Compher,2019,National
New England Player Of The Year,Sarah Lefort,2014,Regional
Sarah Devens Award,Sammy Davis,2020,Regional
All-Hockey East First Team,Allyse Wilcox,2008,Conference
All-Hockey East First Team,Marie-Philip Poulin,2011,Conference
All-Hockey East First Team,Marie-Philip Poulin,2013,Conference
All-Hockey East First Team,Marie-Philip Poulin,2015,Conference
All-Hockey East First Team,Jenn Wakefield,2011,Conference
All-Hockey East First Team,Jenn Wakefield,2012,Conference
All-Hockey East First Team,Catherine Ward,2011,Conference
All-Hockey East First Team,Kasey Boucher,2012,Conference
All-Hockey East First Team,Shannon Doyle,2013,Conference
All-Hockey East First Team,Kaleigh Fratkin,2014,Conference
All-Hockey East First Team,Sarah Lefort,2014,Conference
All-Hockey East First Team,Louise Warren,2014,Conference
All-Hockey East First Team,Victoria Bach,2017,Conference
All-Hockey East First Team,Victoria Bach,2018,Conference
All-Hockey East First Team,Victoria Hanson,2017,Conference
All-Hockey East First Team,Abby Cook,2018,Conference
All-Hockey East First Team,Abby Cook,2020,Conference
All-Hockey East First Team,Jesse Compher,2019,Conference
All-Hockey East First Team,Sammy Davis,2020,Conference
All-Hockey East First Team,Tamara Giaquinto,2025,Conference
All-Hockey East Second Team,Melissa Anderson,2008,Conference
All-Hockey East Second Team,Melissa Anderson,2010,Conference
All-Hockey East Second Team,Tara Watchorn,2009,Conference
All-Hockey East Second Team,Tara Watchorn,2010,Conference
All-Hockey East Second Team,Tara Watchorn,2012,Conference
All-Hockey East Second Team,Jillian Kirchner,2011,Conference
All-Hockey East Second Team,Isabel Menard,2012,Conference
All-Hockey East Second Team,Jenelle Kohanchuk,2013,Conference
All-Hockey East Second Team,Shannon Doyle,2015,Conference
All-Hockey East Second Team,Sarah Lefort,2015,Conference
All-Hockey East Second Team,Kayla Tutino,2015,Conference
All-Hockey East Second Team,Victoria Bach,2016,Conference
All-Hockey East Second Team,Rebecca Leslie,2016,Conference
All-Hockey East Second Team,Rebecca Leslie,2018,Conference
All-Hockey East Second Team,Mary Parker,2017,Conference
All-Hockey East Second Team,Abby Cook,2019,Conference
All-Hockey East Second Team,Sammy Davis,2019,Conference
All-Hockey East Second Team,Jesse Compher,2020,Conference
All-Hockey East Second Team,Jesse Compher,2021,Conference
All-Hockey East Second Team,Corinne Schroeder,2020,Conference
All-Hockey East Second Team,Lacey Martin,2024,Conference
All-Hockey East Third Team,Corinne Schroeder,2019,Conference
All-Hockey East Third Team,Sydney Healey,2025,Conference
Hockey East All-Rookie Team,Allyse Wilcox,2006,Conference
Hockey East All-Rookie Team,Jenelle Kohanchuk,2009,Conference
Hockey East All-Rookie Team,Tara Watchorn,2009,Conference
Hockey East All-Rookie Team,Jill Cardella,2010,Conference
Hockey East All-Rookie Team,Marie-Philip Poulin,2011,Conference
Hockey East All-Rookie Team,Kerrin Sperry,2011,Conference
Hockey East All-Rookie Team,Kayla Tutino,2012,Conference
Hockey East All-Rookie Team,Sarah Lefort,2013,Conference
Hockey East All-Rookie Team,Maddie Elia,2014,Conference
Hockey East All-Rookie Team,Victoria Bach,2015,Conference
Hockey East All-Rookie Team,Rebecca Leslie,2015,Conference
Hockey East All-Rookie Team,Sammy Davis,2016,Conference
Hockey East All-Rookie Team,Abby Cook,2017,Conference
Hockey East All-Rookie Team,Jesse Compher,2018,Conference
Hockey East All-Rookie Team,Corinne Schroeder,2018,Conference
Hockey East All-Rookie Team,Mackenna Parker,2019,Conference
Hockey East All-Rookie Team,Nadia Mattivi,2020,Conference
Hockey East All-Rookie Team,Callie Shanahan,2022,Conference
Hockey East All-Rookie Team,Brooke Disher,2023,Conference
Player Of The Year,Sarah Lefort,2014,Conference
Rookie Of The Year,Marie-Philip Poulin,2011,Conference
Rookie Of The Year,Victoria Bach,2015,Conference
Coach Of The Year,Brian Durocher,2008,Conference
Best Defender,Catherine Ward,2011,Conference
Best Defender,Kasey Boucher,2012,Conference
Best Defender,Tamara Giaquinto,2025,Conference
Best Defensive Forward,Holly Lorms,2011,Conference
Best Defensive Forward,Marie-Philip Poulin,2015,Conference
Three Stars Award,Louise Warren,2014,Conference
Goaltending Champion,Kerrin Sperry,2011,Conference
Scoring Champion,Jenn Wakefield,2012,Conference
Scoring Champion,Sarah Lefort,2014,Conference
Scoring Champion,Victoria Bach,2017,Conference
Scoring Champion,Jesse Compher,2019,Conference
Hockey East Tournament MVP,Melissa Haber,2010,Conference
Hockey East Tournament MVP,Jenn Wakefield,2012,Conference
Hockey East Tournament MVP,Kerrin Sperry,2013,Conference
Hockey East Tournament MVP,Kerrin Sperry,2014,Conference
Hockey East Tournament MVP,Marie-Philip Poulin,2015,Conference
Hockey East Tournament MVP,Sydney Healey,2025,Conference
