name,season,city,state,country
Eden Spencer,2005-06,Cochrane,Alberta,Canada
Sarah Russell,2005-06,Tewksbury,Massachusetts,United States
Amanda Shaw,2005-06,St. Thomas,Ontario,Canada
Caitlin Reddy,2005-06,Birmingham,Michigan,United States
Jessica Lortie,2005-06,Cooper City,Florida,United States
Maeghan Ouimet,2005-06,Portsmouth,New Hampshire,United States
Cara Hendry,2005-06,Calgary,Alberta,Canada
Gina Kearns,2005-06,Norwood,Pennsylvania,United States
Erin Seman,2005-06,Ramsey,Minnesota,United States
Emily Schwarz,2005-06,North Andover,Massachusetts,United States
Kelley Karnan,2005-06,Center Sandwich,New Hampshire,United States
Catherine Foley,2005-06,South Boston,Massachusetts,United States
Caroline Bourdeau,2005-06,West Hartford,Connecticut,United States
Amy Ley,2005-06,Las Vegas,Nevada,United States
Laurel Koller,2005-06,St. Paul,Minnesota,United States
Leah Nakamoto,2005-06,Winchester,Massachusetts,United States
Genevieve Laing,2005-06,Rochester,New York,United States
Alanna Sosenko,2005-06,Oakbrook,Illinois,United States
Stephanie Armstrong,2005-06,Stoneham,Massachusetts,United States
Nicki Wiart,2005-06,Queensbury,New York,United States
Karilyn Pilch,2005-06,Salem,New Hampshire,United States
Sophie Thornton,2005-06,St. Paul,Minnesota,United States
Justine McLaughlin,2005-06,Quincy,Massachusetts,United States
Allyse Wilcox,2005-06,Grand Blanc,Michigan,United States
Sarah Russell,2006-07,Tewksbury,Massachusetts,United States
Jessica Holt,2006-07,Woodstock,New Brunswick,Canada
Amanda Shaw,2006-07,St. Thomas,Ontario,Canada
Caitlin Reddy,2006-07,Birmingham,Michigan,United States
Jessica Lortie,2006-07,Cooper City,Florida,United States
Cara Hendry,2006-07,Calgary,Alberta,Canada
Gina Kearns,2006-07,Norwood,Pennsylvania,United States
Erin Seman,2006-07,Ramsey,Minnesota,United States
Kelley Karnan,2006-07,Center Sandwich,New Hampshire,United States
Catherine Foley,2006-07,South Boston,Massachusetts,United States
Caroline Bourdeau,2006-07,West Hartford,Connecticut,United States
Lynn Hillen,2006-07,Minnetonka,Minnesota,United States
Sarah Appleton,2006-07,New Canaan,Connecticut,United States
Laurel Koller,2006-07,St. Paul,Minnesota,United States
Jonnie Bloemers,2006-07,Brooklyn Center,Minnesota,United States
Genevieve Laing,2006-07,Rochester,New York,United States
Melissa Tetreau,2006-07,Methuen,Massachusetts,United States
Stephanie Armstrong,2006-07,Stoneham,Massachusetts,United States
Nicki Wiart,2006-07,Queensbury,New York,United States
Karilyn Pilch,2006-07,Salem,New Hampshire,United States
Melissa Anderson,2006-07,Langley,British Columbia,Canada
Jenn Arms,2006-07,Chapin,South Carolina,United States
Julie Poulin,2006-07,Beauceville,Quebec,Canada
Sophie Thornton,2006-07,St. Paul,Minnesota,United States
Melissa Haber,2006-07,Toronto,Ontario,Canada
Allyse Wilcox,2006-07,Grand Blanc,Michigan,United States
Ashley Leichliter,2007-08,West Chester,Pennsylvania,United States
Sarah Russell,2007-08,Tewksbury,Massachusetts,United States
Amanda Shaw,2007-08,St. Thomas,Ontario,Canada
Caitlin Reddy,2007-08,Birmingham,Michigan,United States
Katie MacKinnon,2007-08,Vernon,Connecticut,United States
Lauren Cherewyk,2007-08,St. Albert,Alberta,Canada
Holly Lorms,2007-08,Wauwatosa,Wisconsin,United States
Gina Kearns,2007-08,Norwood,Pennsylvania,United States
Erin Seman,2007-08,Ramsey,Minnesota,United States
Jonnie Bloemers,2007-08,Brooklyn Center,Minnesota,United States
Kelley Karnan,2007-08,Center Sandwich,New Hampshire,United States
Caroline Bourdeau,2007-08,West Hartford,Connecticut,United States
Sarah Appleton,2007-08,New Canaan,Connecticut,United States
Laurel Koller,2007-08,St. Paul,Minnesota,United States
Jillian Kirchner,2007-08,Frankfort,Illinois,United States
Melissa Tetreau,2007-08,Methuen,Massachusetts,United States
Stephanie Armstrong,2007-08,Stoneham,Massachusetts,United States
Nicki Wiart,2007-08,Queensbury,New York,United States
Melissa Anderson,2007-08,Langley,British Columbia,Canada
Jenn Arms,2007-08,Chapin,South Carolina,United States
Julie Poulin,2007-08,Beauceville,Quebec,Canada
Sophie Thornton,2007-08,St. Paul,Minnesota,United States
Melissa Haber,2007-08,Toronto,Ontario,Canada
Allyse Wilcox,2007-08,Grand Blanc,Michigan,United States
Ashley Leichliter,2008-09,West Chester,Pennsylvania,United States
Sarah Russell,2008-09,Tewksbury,Massachusetts,United States
Kasey Boucher,2008-09,Lewiston,Maine,United States
Amanda Shaw,2008-09,St. Thomas,Ontario,Canada
Caitlin Reddy,2008-09,Birmingham,Michigan,United States
Carly Warren,2008-09,Calgary,Alberta,Canada
Lauren Cherewyk,2008-09,St. Albert,Alberta,Canada
Holly Lorms,2008-09,Wauwatosa,Wisconsin,United States
Gina Kearns,2008-09,Norwood,Pennsylvania,United States
Erin Seman,2008-09,Ramsey,Minnesota,United States
Jonnie Bloemers,2008-09,Brooklyn Center,Minnesota,United States
Kelley Karnan,2008-09,Center Sandwich,New Hampshire,United States
Caroline Bourdeau,2008-09,West Hartford,Connecticut,United States
Sarah Appleton,2008-09,New Canaan,Connecticut,United States
Laurel Koller,2008-09,St. Paul,Minnesota,United States
Jillian Kirchner,2008-09,Frankfort,Illinois,United States
Jenelle Kohanchuk,2008-09,Winnipeg,Manitoba,Canada
Melissa Tetreau,2008-09,Methuen,Massachusetts,United States
Nicki Wiart,2008-09,Queensbury,New York,United States
Melissa Anderson,2008-09,Langley,British Columbia,Canada
Jenn Arms,2008-09,Chapin,South Carolina,United States
Tara Watchorn,2008-09,Newcastle,Ontario,Canada
Melissa Haber,2008-09,Toronto,Ontario,Canada
Allyse Wilcox,2008-09,Grand Blanc,Michigan,United States
Ashley Leichliter,2009-10,West Chester,Pennsylvania,United States
Britt Hergesheimer,2009-10,East St. Paul,Manitoba,Canada
Kasey Boucher,2009-10,Lewiston,Maine,United States
Kathryn Miller,2009-10,Milverton,Ontario,Canada
Carly Warren,2009-10,Calgary,Alberta,Canada
Lauren Cherewyk,2009-10,St. Albert,Alberta,Canada
Holly Lorms,2009-10,Wauwatosa,Wisconsin,United States
Jonnie Bloemers,2009-10,Brooklyn Center,Minnesota,United States
Cristina Wiley,2009-10,Vineyard Haven,Massachusetts,United States
Taylor Holze,2009-10,Lynnbrook,New York,United States
Shannon Mahoney,2009-10,Carlisle,Massachusetts,United States
Sarah Appleton,2009-10,New Canaan,Connecticut,United States
Laurel Koller,2009-10,St. Paul,Minnesota,United States
Jillian Kirchner,2009-10,Frankfort,Illinois,United States
Jenelle Kohanchuk,2009-10,Winnipeg,Manitoba,Canada
Melissa Tetreau,2009-10,Methuen,Massachusetts,United States
Samantha Pulley,2009-10,Huntingdon Valley,Pennsylvania,United States
Jill Cardella,2009-10,Rochester,New York,United States
Melissa Anderson,2009-10,Langley,British Columbia,Canada
Jenn Arms,2009-10,Chapin,South Carolina,United States
Tara Watchorn,2009-10,Newcastle,Ontario,Canada
Alissa Fromkin,2009-10,Manhasset,New York,United States
Melissa Haber,2009-10,Toronto,Ontario,Canada
Kerrin Sperry,2010-11,North Reading,Massachusetts,United States
Britt Hergesheimer,2010-11,East St. Paul,Manitoba,Canada
Kasey Boucher,2010-11,Lewiston,Maine,United States
Kathryn Miller,2010-11,Milverton,Ontario,Canada
Meghan Riggs,2010-11,Eden Prairie,Minnesota,United States
Carly Warren,2010-11,Calgary,Alberta,Canada
Lauren Cherewyk,2010-11,St. Albert,Alberta,Canada
Holly Lorms,2010-11,Wauwatosa,Wisconsin,United States
Jenn Wakefield,2010-11,Pickering,Ontario,Canada
Cristina Wiley,2010-11,Vineyard Haven,Massachusetts,United States
Kaleigh Fratkin,2010-11,Burnaby,British Columbia,Canada
Shannon Mahoney,2010-11,Carlisle,Massachusetts,United States
Caroline Campbell,2010-11,St. Louis,Missouri,United States
Catherine Ward,2010-11,Montreal,Quebec,Canada
Jillian Kirchner,2010-11,Frankfort,Illinois,United States
Jenelle Kohanchuk,2010-11,Winnipeg,Manitoba,Canada
Samantha Pulley,2010-11,Huntingdon Valley,Pennsylvania,United States
Jill Cardella,2010-11,Rochester,New York,United States
Taylor Holze,2010-11,Lynnbrook,New York,United States
Anya Battaglino,2010-11,Waltham,Massachusetts,United States
Tara Watchorn,2010-11,Newcastle,Ontario,Canada
Louise Warren,2010-11,Pembroke,Ontario,Canada
Marie-Philip Poulin,2010-11,Beauceville,Quebec,Canada
Alissa Fromkin,2010-11,Manhasset,New York,United States
Braly Hiller,2010-11,Marion,Massachusetts,United States
Kerrin Sperry,2011-12,North Reading,Massachusetts,United States
