season,captain
2005–06,Cara Hendry
2006–07,Cara Hendry
2006–07,Gina Kearns
2007–08,Gina Kearns
2007–08,Sarah Russell
2008–09,Gina Kearns
2008–09,Sarah Russell
2009–10,Sarah Appleton
2009–10,Melissa Tetreau
2010–11,Holly Lorms
2011–12,Jenn Wakefield
2012–13,Jill Cardella
2012–13,Marie–Philip Poulin
2013–14,Louise Warren
2014–15,Marie–Philip Poulin
2015–16,Kayla Tutino
2016–17,Alexis Crossley
2016–17,Natalie Flynn
2017–18,Rebecca Leslie
2018–19,Sammy Davis
2018–19,Reagan Rust
2018–19,Natasza Tarnowski
2019–20,Sammy Davis
2019–20,Natasza Tarnowski
2020–21,Jesse Compher
2020–21,Nara Elia
2021–22,Kaleigh Donnelly
2022–23,Nadia Mattivi
2023–24,Nadia Mattivi
2023–24,Madison Cardaci
2024–25,Tamara Giaquinto
2025–26,Maeve Carey
