Year,Location,Name,Country,Medal
2010,"Vancouver, Canada",Marie-Philip Poulin,Canada,Gold
2010,"Vancouver, Canada",Catherine Ward,Canada,Gold
2014,"Sochi, Russia",Marie-Philip Poulin,Canada,Gold
2014,"Sochi, Russia",Jenn Wakefield,Canada,Gold
2014,"Sochi, Russia",Tara Watchorn,Canada,Gold
2014,"Sochi, Russia",Catherine Ward,Canada,Gold
2018,"Pyeongchang, South Korea",Marie-Philip Poulin (C),Canada,Silver
2018,"Pyeongchang, South Korea",Jenn Wakefield,Canada,Silver
2018,"Pyeongchang, South Korea",Andrea Brändli,Switzerland,
2022,"Beijing, China",Marie-Philip Poulin (C),Canada,Gold
2022,"Beijing, China",Jesse Compher,United States,Silver
2022,"Beijing, China",Andrea Brändli,Switzerland,
2026,"Milan-Cortina, Italy",Luisa Welcke,Germany,
2026,"Milan-Cortina, Italy",Lilli Welcke,Germany,
2026,"Milan-Cortina, Italy",Andrea Brändli,Switzerland,
2026,"Milan-Cortina, Italy",Marie-Philip Poulin (C),Canada
