Year,Location,Name,Country,Medal,GP,Goals,Assists,Pts,
2010,"Vancouver, Canada",Marie-Philip Poulin,Canada,Gold,5,5,2,7,2
2010,"Vancouver, Canada",Catherine Ward,Canada,Gold,5,2,2,4,4
2014,"Sochi, Russia",Marie-Philip Poulin,Canada,Gold,5,3,2,5,0
2014,"Sochi, Russia",Jenn Wakefield,Canada,Gold,5,0,1,1,0
2014,"Sochi, Russia",Tara Watchorn,Canada,Gold,5,1,0,1,10
2014,"Sochi, Russia",Catherine Ward,Canada,Gold,5,0,1,1,2
2018,"Pyeongchang, South Korea",Marie-Philip Poulin (C),Canada,Silver,5,3,3,6,8
2018,"Pyeongchang, South Korea",Jenn Wakefield,Canada,Silver,5,2,0,2,4
2018,"Pyeongchang, South Korea",Andrea Brändli,Switzerland,,0,0,0,0,0
2022,"Beijing, China",Marie-Philip Poulin (C),Canada,Gold,7,6,11,17,6
2022,"Beijing, China",Jesse Compher,United States,Silver,7,3,1,4,4
2022,"Beijing, China",Andrea Brändli,Switzerland,,0,0,0,0,0
2026,"Milan-Cortina, Italy",Luisa Welcke,Germany,,5,0,3,3,2
2026,"Milan-Cortina, Italy",Lilli Welcke,Germany,,5,0,1,1,2
2026,"Milan-Cortina, Italy",Andrea Brändli,Switzerland,,0,0,0,0,0
2026,"Milan-Cortina, Italy",Marie-Philip Poulin (C),Canada,,4,3,1,4,2
2026,"Milan-Cortina, Italy",Nadia Mattivi (C),Italy,,5,0,2,2,8
2026,"Milan-Cortina, Italy",Kayla Tutino (A),Italy,,5,1,1,2,0
