Name,Country,Position,Year,Medal
Paul Miller,United States,Forward,1977,
Cleon Daskalakis,United States,Goalie,1981,
Clark Donatelli,United States,Forward,1984,
Clark Donatelli,United States,Forward,1985,
Jay Octeau,United States,Defense,1985,
Scott Young,United States,Forward,1985,
Ville Kentala,Finland,Forward,1986,
Mike Kelfer,United States,Forward,1986,Bronze
David Quinn,United States,Defense,1986,Bronze
Scott Young,United States,Forward,1986,Bronze
Mike Kelfer,United States,Forward,1987,
Scott Young,United States,Forward,1987,
Mike Sullivan,United States,Forward,1988,
Tony Amonte,United States,Forward,1989,
Tom Dion,United States,Defense,1989,
Mike Lappin,United States,Forward,1989,
Joe Sacco,United States,Forward,1989,
Tony Amonte,United States,Forward,1990,
Scott Lachance,United States,Defense,1991,
Keith Tkachuk,United States,Forward,1991,
Rich Brennan,United States,Defense,1992,Bronze
Scott Lachance,United States,Defense,1992,Bronze
John Lilley,United States,Forward,1992,Bronze
Mike Prendergast,United States,Forward,1992,Bronze
Keith Tkachuk,United States,Forward,1992,Bronze
Adrian Aucoin,Canada,Defense,1993,Gold
Mike Pomichter,United States,Forward,1993,
Petteri Koskimaki,Finland,Forward,1994,
Jon Coleman,United States,Defense,1994,
Bob Lachance,United States,Forward,1994,
Chris O’Sullivan,United States,Defense,1994,
Jay Pandolfo,United States,Forward,1994,
Shawn Bates,United States,Forward,1995,
Mike Grier,United States,Forward,1995,
Chris Kelleher,United States,Defense,1995,
Chris Drury,United States,Forward,1996,
Jeff Kealty,United States,Defense,1996,
Tom Poti,United States,Defense,1996,
Mike Sylvia,United States,Forward,1996,
Dan LaCouture,United States,Forward,1997,Silver
Tom Poti,United States,Defense,1997,Silver
Mike Pandolfo,United States,Forward,1999,
Pat Aufiero,United States,Defense,2000,
Dan Cavanaugh,United States,Forward,2000,
Rick DiPietro,United States,Goalie,2000,
John Sabo,United States,Forward,2000,
Rick DiPietro,United States,Goalie,2001,
Freddy Meyer,United States,Defense,2001,
John Sabo,United States,Forward,2001,
Frantisek Skladany,Slovakia,Forward,2002,
Gregg Johnson,United States,Forward,2002,
Ryan Whitney,United States,Defense,2002,
Brian McConnell,United States,Forward,2003,
Ryan Whitney,United States,Defense,2003,
Chris Bourque,United States,Forward,2005,
Chris Bourque,United States,Forward,2006,
Brian Strait,United States,Defense,2008,
Colin Wilson,United States,Forward,2008,
Kevin Shattenkirk,United States,Defense,2009,
Colin Wilson,United States,Forward,2009,
David Warsofsky,United States,Defense,2010,Gold
Charlie Coyle,United States,Forward,2011,Bronze
Adam Clendening,United States,Defense,2012,
Charlie Coyle,United States,Forward,2012,
Matt Grzelcyk,United States,Defense,2014,
Danny O’Regan,United States,Forward,2014,
Jack Eichel,United States,Forward,2015,
J. Forsbacka Karlsson,Sweden,Forward,2016,
Brandon Hickey,Canada,Defense,2016,
Brandon Fortunato,United States,Defense,2016,Bronze
Chad Krys,United States,Defense,2016,Bronze
Charlie McAvoy,United States,Defense,2016,Bronze
Dante Fabbro,Canada,Defense,2017,Silver
Kieffer Bellows,United States,Forward,2017,Gold
Jordan Greenway,United States,Forward,2017,Gold
Patrick Harper,United States,Forward,2017,Gold
Clayton Keller,United States,Forward,2017,Gold
Charlie McAvoy,United States,Defense,2017,Gold
Jake Oettinger,United States,Forward,2017,Gold
Dante Fabbro,Canada,Defense,2018,Gold
Kasper Kotkansalo,Finland,Defense,2018,
Kieffer Bellows,United States,Forward,2018,Bronze
Patrick Harper,United States,Forward,2018,Bronze
Jake Oettinger,United States,Forward,2018,Bronze
Brady Tkachuk,United States,Forward,2018,Bronze
Shane Bowers,Canada,Forward,2019,
Logan Cockerill,United States,Forward,2019,Silver
Joel Farabee,United States,Forward,2019,Silver
Trevor Zegras,United States,Forward,2020,
Trevor Zegras,United States,Forward,2021,Gold
Lane Hutson,United States,Defense,2023,Bronze
Tyler Boucher,United States,Forward,2023,Bronze
Macklin Celebrini,Canada,Forward,2024,
Tom Willander,Sweden,Defense,2024,Silver
Lane Hutson,United States,Defense,2024,Gold
Tom Willander,Sweden,Defense,2025,
Cole Hutson,United States,Defense,2025,Gold
Cole Eiserman,United States,Forward,2025,Gold
Brandon Svoboda,United States,Forward,2025,Gold
Sascha Boumedienne,Sweden,Defense,2026,Gold
Cole Hutson,United States,Defense,2026,
Cole Eiserman,United States,Forward,2026,
Kamil Bednarik,United States,Forward,2026,
