RK,TEAM,DATE,SEASON
1,Wisconsin,2006-10-02,2007
2,New Hampshire,2006-10-02,2007
3,Mercyhurst,2006-10-02,2007
4,St. Lawrence,2006-10-02,2007
5,Minnesota,2006-10-02,2007
6,Dartmouth,2006-10-02,2007
7,Minnesota Duluth,2006-10-02,2007
8,Harvard,2006-10-02,2007
9,Princeton,2006-10-02,2007
10,Boston College,2006-10-02,2007
11,Clarkson,2006-10-02,2007
12,Minnesota State,2006-10-02,2007
13,Brown,2006-10-02,2007
14,Providence,2006-10-02,2007
1,Wisconsin,2006-10-09,2007
2,New Hampshire,2006-10-09,2007
3,Mercyhurst,2006-10-09,2007
4,St. Lawrence,2006-10-09,2007
5,Minnesota,2006-10-09,2007
6,Minnesota Duluth,2006-10-09,2007
7,Dartmouth,2006-10-09,2007
8,Harvard,2006-10-09,2007
9,Princeton,2006-10-09,2007
10,Boston College,2006-10-09,2007
11,Brown,2006-10-09,2007
11,Clarkson,2006-10-09,2007
11,Ohio State,2006-10-09,2007
1,Wisconsin,2006-10-16,2007
2,New Hampshire,2006-10-16,2007
3,St. Lawrence,2006-10-16,2007
4,Mercyhurst,2006-10-16,2007
4,Minnesota Duluth,2006-10-16,2007
6,Minnesota,2006-10-16,2007
7,Dartmouth,2006-10-16,2007
8,Harvard,2006-10-16,2007
9,Princeton,2006-10-16,2007
10,Boston College,2006-10-16,2007
11,Clarkson,2006-10-16,2007
12,Brown,2006-10-16,2007
12,Providence,2006-10-16,2007
14,Ohio State,2006-10-16,2007
1,New Hampshire,2006-10-23,2007
1,Wisconsin,2006-10-23,2007
3,St. Lawrence,2006-10-23,2007
4,Mercyhurst,2006-10-23,2007
5,Minnesota Duluth,2006-10-23,2007
6,Minnesota,2006-10-23,2007
7,Harvard,2006-10-23,2007
8,Dartmouth,2006-10-23,2007
9,Princeton,2006-10-23,2007
10,Boston College,2006-10-23,2007
11,Brown,2006-10-23,2007
12,Boston University,2006-10-23,2007
1,Wisconsin,2006-10-30,2007
2,New Hampshire,2006-10-30,2007
3,Mercyhurst,2006-10-30,2007
4,Minnesota Duluth,2006-10-30,2007
5,St. Lawrence,2006-10-30,2007
6,Harvard,2006-10-30,2007
7,Dartmouth,2006-10-30,2007
8,Minnesota,2006-10-30,2007
8,Princeton,2006-10-30,2007
10,Boston College,2006-10-30,2007
11,Clarkson,2006-10-30,2007
12,Connecticut,2006-10-30,2007
1,Wisconsin,2006-11-06,2007
2,Mercyhurst,2006-11-06,2007
3,New Hampshire,2006-11-06,2007
4,Minnesota,2006-11-06,2007
5,Dartmouth,2006-11-06,2007
6,St. Lawrence,2006-11-06,2007
7,Minnesota Duluth,2006-11-06,2007
8,Harvard,2006-11-06,2007
9,Boston College,2006-11-06,2007
10,Princeton,2006-11-06,2007
11,Ohio State,2006-11-06,2007
1,Wisconsin,2006-11-13,2007
2,Mercyhurst,2006-11-13,2007
3,New Hampshire,2006-11-13,2007
4,Minnesota,2006-11-13,2007
5,St. Lawrence,2006-11-13,2007
6,Dartmouth,2006-11-13,2007
7,Minnesota Duluth,2006-11-13,2007
8,Harvard,2006-11-13,2007
9,Princeton,2006-11-13,2007
10,Boston College,2006-11-13,2007
1,Wisconsin,2006-11-20,2007
2,Mercyhurst,2006-11-20,2007
3,New Hampshire,2006-11-20,2007
4,Minnesota,2006-11-20,2007
5,St. Lawrence,2006-11-20,2007
6,Dartmouth,2006-11-20,2007
7,Harvard,2006-11-20,2007
8,Princeton,2006-11-20,2007
9,Boston College,2006-11-20,2007
10,Minnesota Duluth,2006-11-20,2007
11,Ohio State,2006-11-20,2007
1,Mercyhurst,2006-11-27,2007
2,Wisconsin,2006-11-27,2007
3,New Hampshire,2006-11-27,2007
4,Minnesota,2006-11-27,2007
5,Harvard,2006-11-27,2007
6,Dartmouth,2006-11-27,2007
7,Minnesota Duluth,2006-11-27,2007
7,St. Lawrence,2006-11-27,2007
9,Boston College,2006-11-27,2007
10,Princeton,2006-11-27,2007
11,Ohio State,2006-11-27,2007
1,Mercyhurst,2006-12-04,2007
2,Wisconsin,2006-12-04,2007
3,New Hampshire,2006-12-04,2007
4,Harvard,2006-12-04,2007
5,Minnesota,2006-12-04,2007
6,Dartmouth,2006-12-04,2007
7,St. Lawrence,2006-12-04,2007
8,Minnesota Duluth,2006-12-04,2007
9,Princeton,2006-12-04,2007
10,Ohio State,2006-12-04,2007
11,Boston College,2006-12-04,2007
12,Connecticut,2006-12-04,2007
13,Providence,2006-12-04,2007
14,Colgate,2006-12-04,2007
1,Mercyhurst,2006-12-11,2007
2,New Hampshire,2006-12-11,2007
3,Wisconsin,2006-12-11,2007
4,Minnesota,2006-12-11,2007
5,Dartmouth,2006-12-11,2007
6,Harvard,2006-12-11,2007
7,St. Lawrence,2006-12-11,2007
8,Minnesota Duluth,2006-12-11,2007
9,Connecticut,2006-12-11,2007
9,Ohio State,2006-12-11,2007
11,Boston College,2006-12-11,2007
12,Princeton,2006-12-11,2007
13,Clarkson,2006-12-11,2007
13,Colgate,2006-12-11,2007
1,Mercyhurst,2007-01-02,2007
2,New Hampshire,2007-01-02,2007
2,Wisconsin,2007-01-02,2007
4,Dartmouth,2007-01-02,2007
5,Minnesota,2007-01-02,2007
6,St. Lawrence,2007-01-02,2007
7,Harvard,2007-01-02,2007
8,Minnesota Duluth,2007-01-02,2007
9,Ohio State,2007-01-02,2007
10,Princeton,2007-01-02,2007
11,Boston College,2007-01-02,2007
12,Connecticut,2007-01-02,2007
13,Clarkson,2007-01-02,2007
14,Colgate,2007-01-02,2007
