name,Career,Source
Ashley Watkins,2005-06,New England College
Cara Hendry,2005-07,Minnesota State
Jessica Lortie,2005-07,University of Southern Maine
Stephanie Armstrong,2005-08,Union
Julie Poulin,2006-08,Maine
Catherine Ward,2010-11,McGill
Jenn Wakefield,2010-12,New Hampshire
Isabel Menard,2011-13,Syracuse
Shannon Doyle,2012-15,Colgate
Alexis Crossley,2015-17,New Hampshire
Mary Parker,2016-17,Harvard
Nina Rodgers,2016-18,Minnesota
Abbey Stanley,2017-20,North Dakota
Reagan Rust,2017-19,RIT
Ellie Larson,2021-22,RIT
Jesse DeVito,2021-23,Wisconsin
Andrea Brändli,2022-23,Ohio State
Ani FitzGerald,2022-25,Northeastern
Alexa Matses,2023-24,Northeastern
Lilli Welcke,2023-26,Maine
Luisa Welcke,2023-26,Maine
Lindsay Bochna,2024-25,Providence
Maeve Carey,2024-26,Stonehill
Riley Walsh,2024-26,Union
Ella Belfry,2025-26,Colgate
Greta Henderson,2025-26,St. Cloud State
Michelle Pasiechnyk,2025-26,Clarkson
