Name,Career,Destination
Ashley Watkins,2005–06,New England College
Lynn Hillen,2006–07,Gustavus Adolphus
Lauren Klein,2017–18,Colby
Kristina Schuler,2017-21,Clarkson
Nara Elia,2017-21,St. Lawrence
Corinne Schroeder,2017-21,Quinnipiac
Grace Parker,2019–22,Maine
Madison Michals,2021–22,Holy Cross
Courtney Correia,2018–22,Penn State
Jesse Compher,2017–23,Wisconsin
Julia Nearis,2019–23,Quinnipiac
Brooke Disher,2022–24,Ohio State
Jackson Kinsler,2023–24,Syracuse
Mikayla Blomquist,2023–24,Union
Andi Calderone,2020–24,New Hampshire
Madison Cardaci,2020–24,Merrimack
Alex Law,2024–25,Quinnipiac
Ella Belfry,2025-26,Minnesota Duluth
Lucy Thiessen,2025-26,Robert Morris
