opponent,OppoConference,season
Boston College,Hockey East,2002-23
Brown,ECAC,1993-23
Clarkson,ECAC,2004-23
Connecticut,Hockey East,2002-23
Cornell,ECAC,1993-23
Dartmouth,ECAC,1993-23
Harvard,ECAC,1993-23
Holy Cross,NEHC,2015-17
Holy Cross,NEWHA,2017-18
Holy Cross,Hockey East,2018-23
Maine,Hockey East,2002-23
Mercyhurst,CHA,2002-23
Merrimack,Hockey East,2015-23
Minnesota,WCHA,1999-23
Minnesota Duluth,WCHA,1999-23
Minnesota State,WCHA,1999-23
New Hampshire,Hockey East,2002-23
Niagara,CHA,2002-12
North Dakota,WCHA,2004-17
Northeastern,Hockey East,2002-23
Ohio State,WCHA,1999-23
Penn State,CHA,2012-23
Princeton,ECAC,1993-23
Providence,Hockey East,2002-23
Quinnipiac,ECAC,2005-23
Rensselaer,ECAC,2007-23
RIT,CHA,2012-23
Robert Morris,CHA,2005-23
Sacred Heart,Independent,2003-19
Sacred Heart,NEWHA,2019-23
St. Cloud State,WCHA,1999-23
St. Lawrence,ECAC,1993-23
Syracuse,CHA,2008-23
Union,ECAC,2003-23
Vermont,ECAC,2001-05
Vermont,Hockey East,2005-23
Wayne State,CHA,2002-11
Wisconsin,WCHA,1999-23
Yale,ECAC,1993-23
